index,beer_name,ounces,abv,ibu,brewery_id,brewery_name,city,state,style
1,Pub Beer,12,0.05,,408,10 Barrel Brewing Company,Bend,OR,American Pale Lager
2,Devil's Cup,12,0.066,,177,18th Street Brewery,Gary,IN,American Pale Ale (APA)
3,Rise of the Phoenix,12,0.071,,177,18th Street Brewery,Gary,IN,American IPA
4,Sinister,12,0.09,,177,18th Street Brewery,Gary,IN,American Double / Imperial IPA
5,Sex and Candy,12,0.075,,177,18th Street Brewery,Gary,IN,American IPA
6,Black Exodus,12,0.077,,177,18th Street Brewery,Gary,IN,Oatmeal Stout
7,Lake Street Express,12,0.045,,177,18th Street Brewery,Gary,IN,American Pale Ale (APA)
8,Foreman,12,0.065,,177,18th Street Brewery,Gary,IN,American Porter
9,Jade,12,0.055,,177,18th Street Brewery,Gary,IN,American Pale Ale (APA)
10,Cone Crusher,12,0.086,,177,18th Street Brewery,Gary,IN,American Double / Imperial IPA
11,Sophomoric Saison,12,0.072,,177,18th Street Brewery,Gary,IN,Saison / Farmhouse Ale
12,Regional Ring Of Fire,12,0.073,,177,18th Street Brewery,Gary,IN,Saison / Farmhouse Ale
13,Garce Selé,12,0.069,,177,18th Street Brewery,Gary,IN,Saison / Farmhouse Ale
14,Troll Destroyer,12,0.085,,177,18th Street Brewery,Gary,IN,Belgian IPA
15,Bitter Bitch,12,0.061,60,177,18th Street Brewery,Gary,IN,American Pale Ale (APA)
16,Ginja Ninja,12,0.06,,154,2 Towns Ciderhouse,Corvallis,OR,Cider
17,Cherried Away,12,0.06,,154,2 Towns Ciderhouse,Corvallis,OR,Cider
18,Rhubarbarian,12,0.06,,154,2 Towns Ciderhouse,Corvallis,OR,Cider
19,BrightCider,12,0.06,,154,2 Towns Ciderhouse,Corvallis,OR,Cider
20,He Said Baltic-Style Porter,12,0.082,,368,21st Amendment Brewery,San Francisco,CA,Baltic Porter
21,He Said Belgian-Style Tripel,12,0.082,,368,21st Amendment Brewery,San Francisco,CA,Tripel
22,Lower De Boom,8.4,0.099,92,368,21st Amendment Brewery,San Francisco,CA,American Barleywine
23,Fireside Chat,12,0.079,45,368,21st Amendment Brewery,San Francisco,CA,Winter Warmer
24,Marooned On Hog Island,12,0.079,,368,21st Amendment Brewery,San Francisco,CA,American Stout
25,Bitter American,12,0.044,42,368,21st Amendment Brewery,San Francisco,CA,American Pale Ale (APA)
26,Hell or High Watermelon Wheat (2009),12,0.049,17,368,21st Amendment Brewery,San Francisco,CA,Fruit / Vegetable Beer
27,Hell or High Watermelon Wheat (2009),12,0.049,17,368,21st Amendment Brewery,San Francisco,CA,Fruit / Vegetable Beer
28,21st Amendment Watermelon Wheat Beer (2006),12,0.049,17,368,21st Amendment Brewery,San Francisco,CA,Fruit / Vegetable Beer
29,21st Amendment IPA (2006),12,0.07,70,368,21st Amendment Brewery,San Francisco,CA,American IPA
30,Brew Free! or Die IPA (2008),12,0.07,70,368,21st Amendment Brewery,San Francisco,CA,American IPA
31,Brew Free! or Die IPA (2009),12,0.07,70,368,21st Amendment Brewery,San Francisco,CA,American IPA
32,Special Edition: Allies Win The War!,12,0.085,52,368,21st Amendment Brewery,San Francisco,CA,English Strong Ale
33,Hop Crisis,12,0.097,94,368,21st Amendment Brewery,San Francisco,CA,American Double / Imperial IPA
34,Bitter American (2011),12,0.044,42,368,21st Amendment Brewery,San Francisco,CA,American Pale Ale (APA)
35,Fireside Chat (2010),12,0.079,45,368,21st Amendment Brewery,San Francisco,CA,Winter Warmer
36,Back in Black,12,0.068,65,368,21st Amendment Brewery,San Francisco,CA,American Black Ale
37,Monk's Blood,12,0.083,35,368,21st Amendment Brewery,San Francisco,CA,Belgian Dark Ale
38,Brew Free! or Die IPA,12,0.07,65,368,21st Amendment Brewery,San Francisco,CA,American IPA
39,Hell or High Watermelon Wheat,12,0.049,17,368,21st Amendment Brewery,San Francisco,CA,Fruit / Vegetable Beer
40,Bimini Twist,12,0.07,82,67,3 Daughters Brewing,St Petersburg,FL,American IPA
41,Beach Blonde,12,0.05,,67,3 Daughters Brewing,St Petersburg,FL,American Blonde Ale
42,Rod Bender Red,12,0.059,,67,3 Daughters Brewing,St Petersburg,FL,American Amber / Red Ale
43,Passion Fruit Prussia,12,0.035,11,60,4 Hands Brewing Company,Saint Louis,MO,Berliner Weissbier
44,Send Help,12,0.045,18,60,4 Hands Brewing Company,Saint Louis,MO,American Blonde Ale
45,Cast Iron Oatmeal Brown,12,0.055,,60,4 Hands Brewing Company,Saint Louis,MO,American Brown Ale
46,Reprise Centennial Red,12,0.06,,60,4 Hands Brewing Company,Saint Louis,MO,American Amber / Red Ale
47,Alter Ego,12,0.055,,60,4 Hands Brewing Company,Saint Louis,MO,American Black Ale
48,Divided Sky,12,0.065,,60,4 Hands Brewing Company,Saint Louis,MO,American IPA
49,Resurrected,12,0.065,,60,4 Hands Brewing Company,Saint Louis,MO,American IPA
50,Contact High,12,0.05,28,60,4 Hands Brewing Company,Saint Louis,MO,American Pale Wheat Ale
51,Galaxyfest,16,0.065,,27,450 North Brewing Company,Columbus,IN,American IPA
52,Citrafest,16,0.05,45,27,450 North Brewing Company,Columbus,IN,American IPA
53,Barn Yeti,16,0.09,,27,450 North Brewing Company,Columbus,IN,Belgian Strong Dark Ale
54,Scarecrow,16,0.069,65,27,450 North Brewing Company,Columbus,IN,American IPA
55,Ironman,16,0.09,50,27,450 North Brewing Company,Columbus,IN,English Strong Ale
56,Honey Kolsch,16,0.046,15,27,450 North Brewing Company,Columbus,IN,Kölsch
57,Copperhead Amber,16,0.052,18,27,450 North Brewing Company,Columbus,IN,Belgian Dark Ale
58,Rude Parrot IPA,16,0.059,75,481,7 Seas Brewing Company,Gig Harbor,WA,American IPA
59,British Pale Ale (2010),16,0.054,30,481,7 Seas Brewing Company,Gig Harbor,WA,English Pale Ale
60,British Pale Ale,16,0.054,30,481,7 Seas Brewing Company,Gig Harbor,WA,English Pale Ale
61,Ballz Deep Double IPA,16,0.084,82,481,7 Seas Brewing Company,Gig Harbor,WA,American Double / Imperial IPA
62,Wolfman's Berliner,12,0.038,,373,7venth Sun,Dunedin,FL,Berliner Weissbier
63,Colorado Native,12,0.055,26,462,AC Golden Brewing Company,Golden,CO,American Amber / Red Lager
64,Colorado Native (2011),12,0.055,26,462,AC Golden Brewing Company,Golden,CO,American Amber / Red Lager
