index,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1597,733,Gordon Beer (2006),American Double / Imperial IPA,12.0 ounce,0.087,60.0,503,Oskar Blues Brewery,Lyons,CO
1598,1533,G'KNIGHT,American Double / Imperial IPA,12.0 OZ.,0.09%,85.0,389,Oskar Blues Brewery (North Carol...,Brevard,NC
1599,1532,Ten Fidy,Russian Imperial Stout,12.0 oz,0.10%,98.0,389,Oskar Blues Brewery (North Carol...,Brevard,NC
1600,1328,Deviant Dale's IPA,American Double / Imperial IPA,16.0 oz,0.08%,85.0,389,Oskar Blues Brewery (North Carol...,Brevard,NC
1601,1175,Old Chub,Scottish Ale,12.0 oz,0.08,35.0,389,Oskar Blues Brewery (North Carol...,Brevard,NC
1602,1166,Dale's Pale Ale,American Pale Ale (APA),19.2 oz.,0.065,65.0,389,Oskar Blues Brewery (North Carol...,Brevard,NC
1603,1065,Dale's Pale Ale,American Pale Ale (APA),12.0 oz.,0.065,65.0,389,Oskar Blues Brewery (North Carol...,Brevard,NC
1604,1908,Fresh Slice White IPA,American White IPA,12.0 oz,0.06%,45.0,275,Otter Creek Brewing,Middlebury,VT
1605,1946,Overgrown American Pale Ale,American Pale Ale (APA),12.0 oz,0.055,55.0,261,Otter Creek Brewing,Waterbury,VT
1606,1961,Ozark American Pale Ale,American Pale Ale (APA),12.0 oz.,0.04,39.0,259,Ozark Beer Company,Rogers,AR
1609,1268,Rustic Red,Irish Red Ale,16.0 ounce,0.052,23.0,441,Pateros Creek Brewing Company,Fort Collins,CO
1610,697,Stimulator Pale Ale,American Pale Ale (APA),16.0 ounce,0.05%,48.0,441,Pateros Creek Brewing Company,Fort Collins,CO
1611,696,Old Town Ale,K?lsch,16.0 oz.,0.045,22.0,441,Pateros Creek Brewing Company,Fort Collins,CO
1612,695,Car 21,English Bitter,16.0 ounce,0.044,28.0,441,Pateros Creek Brewing Company,Fort Collins,CO
1613,694,Cache La Porter,American Porter,16.0 oz.,0.05,24.0,441,Pateros Creek Brewing Company,Fort Collins,CO
1614,1805,Rodeo Rye Pale Ale,American Pale Ale (APA),12.0 oz.,0.042,35.0,307,Payette Brewing Company,Garden City,ID
1615,1048,Outlaw IPA,American IPA,12.0 oz,0.06%,65.0,307,Payette Brewing Company,Garden City,ID
1617,890,Payette Pale Ale,American Pale Ale (APA),12.0 oz.,0.048,35.0,307,Payette Brewing Company,Garden City,ID
1618,775,Mutton Buster,American Brown Ale,12.0 oz.,0.06%,25.0,307,Payette Brewing Company,Garden City,ID
1622,2238,Lobo Lito,Light Lager,12.0 ounce,0.04,12.0,187,Pedernales Brewing Company,Fredericksburg,TX
1623,2144,Robert Earl Keen Honey Pils,American Pilsner,12.0 oz.,0.05,17.0,187,Pedernales Brewing Company,Fredericksburg,TX
1624,2175,Mound Builder IPA,American IPA,12.0 oz.,0.065,77.0,205,People's Brewing Company,Lafayette,IN
1625,2168,Amazon Princess IPA,American IPA,12.0 ounce,0.062,62.0,205,People's Brewing Company,Lafayette,IN
1628,2633,Hotbox Brown,American Brown Ale,12.0 oz,0.055,10.0,13,Perrin Brewing Company,Comstock Park,MI
1629,2632,Gold,American Blonde Ale,12.0 oz.,0.048,15.0,13,Perrin Brewing Company,Comstock Park,MI
1631,2630,98 Problems (Cuz A Hop Ain't One),American IPA,12.0 ounce,0.07%,65.0,13,Perrin Brewing Company,Comstock Park,MI
1632,2629,Veteran’s Pale Ale (VPA),American Pale Ale (APA),12.0 oz.,0.05,40.0,13,Perrin Brewing Company,Comstock Park,MI
1633,2628,Grapefruit IPA,American IPA,12.0 oz.,0.05,35.0,13,Perrin Brewing Company,Comstock Park,MI
1641,2635,Sparkle,American Pale Lager,16.0 oz.,0.041,12.0,11,Petoskey Brewing,Petoskey,MI
1643,1403,Horny Monk,Dubbel,16.0 oz.,0.069,20.000000000000004,11,Petoskey Brewing,Petoskey,MI
1644,1402,Mind's Eye PA,American IPA,16.0 oz. Alumi-Tek,0.067,74.0,11,Petoskey Brewing,Petoskey,MI
1645,2312,Camelback,American IPA,12.0 oz.,0.061,60.0,157,Phoenix Ale Brewery,Phoenix,AZ
1648,1384,Elephant Rock IPA,American IPA,12.0 oz.,0.07,75.0,355,Pikes Peak Brewing Company,Monument,CO
1651,1791,Hot Date Ale,Chile Beer,16.0 oz,0.06,20.000000000000004,314,Piney River Brewing Company,Bucryus,MO
1653,1491,Sweet Potato Ale,Fruit / Vegetable Beer,16.0 oz.,0.06,24.0,314,Piney River Brewing Company,Bucryus,MO
1654,1335,Float Trip Ale,American Blonde Ale,16.0 oz.,0.045,18.0,314,Piney River Brewing Company,Bucryus,MO
1655,847,Old Tom Porter,American Porter,16.0 oz,0.055,25.0,314,Piney River Brewing Company,Bucryus,MO
1656,846,Black Walnut Wheat,American Dark Wheat Ale,16.0 oz,0.045,18.0,314,Piney River Brewing Company,Bucryus,MO
1657,521,McKinney Eddy Amber Ale,American Amber / Red Ale,16.0 ounce,0.055,20.000000000000004,314,Piney River Brewing Company,Bucryus,MO
1658,479,Missouri Mule India Pale Ale,American IPA,16.0 ounce,0.07%,70.0,314,Piney River Brewing Company,Bucryus,MO
1660,1760,GreyBeard??IPA,American IPA,12.0 oz.,0.069,51.0,324,Pisgah Brewing Company,Black Mountain,NC
1661,1759,Pisgah Pale Ale,American Pale Ale (APA),12.0 ounce,0.057,31.0,324,Pisgah Brewing Company,Black Mountain,NC
1666,2553,Mazzie,American Pale Ale (APA),12.0 ounce,0.054,45.0,55,Pollyanna Brewing Company,Lemont,IL
1670,2360,Morning Wood Wheat (Current),American Pale Wheat Ale,12.0 OZ.,0.06%,14.0,135,Pug Ryan's Brewery,Dillon,CO
1672,1462,Dead Eye Dunkel,Munich Dunkel Lager,12.0 ounce,0.06,15.0,135,Pug Ryan's Brewery,Dillon,CO
1673,1461,Peacemaker Pilsner,Czech Pilsener,12.0 oz.,0.058,21.0,135,Pug Ryan's Brewery,Dillon,CO
1674,711,Over the Rail Pale Ale,American Pale Ale (APA),12.0 OZ.,0.057,68.0,135,Pug Ryan's Brewery,Dillon,CO
1675,188,Pallavicini Pilsner (2009),Czech Pilsener,12.0 oz.,0.06%,21.0,135,Pug Ryan's Brewery,Dillon,CO
1676,130,Morning Wood Wheat (Current),American Pale Wheat Ale,12.0 oz.,0.059,14.0,135,Pug Ryan's Brewery,Dillon,CO
1677,399,Pyramid Hefeweizen (2011),Hefeweizen,12.0 oz.,0.05%,18.0,544,Pyramid Breweries,Seattle,WA
1678,82,Haywire Hefeweizen (2010),Hefeweizen,16.0 oz.,0.05%,18.0,544,Pyramid Breweries,Seattle,WA
1679,2031,Golden Fleece,Belgian Pale Ale,12.0 oz,0.045,35.0,246,Quest Brewing Company,Greenville,SC
1680,2030,Smoking Mirror,American Porter,12.0 oz,0.055,30.0,246,Quest Brewing Company,Greenville,SC
1682,2229,Pride of Texas Pale Ale,American Pale Ale (APA),12.0 OZ.,0.058,60.0,176,Rahr & Sons Brewing Company,Fort Worth,TX
1683,2370,18th Anniversary Gose,Gose,12.0 oz.,0.044,5.0,128,Real Ale Brewing Company,Blanco,TX
1684,2211,White (2015),Witbier,12.0 oz.,0.046,25.0,128,Real Ale Brewing Company,Blanco,TX
1685,1861,BLAKKR,American Black Ale,12.0 OZ.,0.10%,85.0,128,Real Ale Brewing Company,Blanco,TX
1686,1718,Firemans #4 Blonde Ale (2013),American Blonde Ale,12.0 oz,0.05%,21.0,128,Real Ale Brewing Company,Blanco,TX
1688,1091,Hans' Pils (2015),German Pilsener,12.0 oz,0.053,52.0,128,Real Ale Brewing Company,Blanco,TX
1689,1086,Four Squared (2015),American Blonde Ale,12.0 oz.,0.06,50.0,128,Real Ale Brewing Company,Blanco,TX
1690,830,Firemans #4 Blonde Ale (2015),American Blonde Ale,12.0 oz.,0.05%,21.0,128,Real Ale Brewing Company,Blanco,TX
1691,1021,Watership Brown Ale,American Brown Ale,12.0 oz,0.072,55.0,475,Red Hare Brewing Company,Marietta,GA
1694,2516,Farmer's Daughter Blonde,American Blonde Ale,16.0 oz.,0.051,17.0,68,Red Shedman Farm Brewery and Hop...,Mt. Airy,MD
1695,2515,Pump House IPA,American IPA,16.0 oz,0.055,45.0,68,Red Shedman Farm Brewery and Hop...,Mt. Airy,MD
1697,2513,Vanilla Porter,American Porter,16.0 oz.,0.05%,25.0,68,Red Shedman Farm Brewery and Hop...,Mt. Airy,MD
1698,2512,Honey Rye,Rye Beer,16.0 ounce,0.06%,18.0,68,Red Shedman Farm Brewery and Hop...,Mt. Airy,MD
1700,945,Long Hammer IPA,American IPA,16.0 oz.,0.065,44.0,487,Redhook Brewery,Woodinville,WA
1701,583,Long Hammer IPA,American IPA,12.0 oz.,0.065,44.0,487,Redhook Brewery,Woodinville,WA
1702,339,Copper Hook (2011),American Amber / Red Ale,12.0 oz,0.058,27.0,487,Redhook Brewery,Woodinville,WA
1706,2087,Blood Orange Wit,Witbier,16.0 ounce,0.05,16.0,225,Refuge Brewery,Temecula,CA
1707,2414,Consilium,American Pale Ale (APA),12.0 ounce,0.05%,40.0,110,Renegade Brewing Company,Denver,CO
1708,1581,Hammer & Sickle,Russian Imperial Stout,12.0 oz.,0.09,60.0,110,Renegade Brewing Company,Denver,CO
1710,1006,Elevation Triple India Pale Ale,American Double / Imperial IPA,12.0 OZ.,0.099,100.0,110,Renegade Brewing Company,Denver,CO
1711,1005,5:00 O'Clock Afternoon Ale,American Blonde Ale,16.0 oz.,0.05,25.0,110,Renegade Brewing Company,Denver,CO
1712,636,Ryeteous Rye IPA (2012),American IPA,16.0 oz.,0.07%,100.0,110,Renegade Brewing Company,Denver,CO
1721,2576,Fist City,American Pale Ale (APA),12.0 ounce,0.055,40.0,44,Revolution Brewing Company,Chicago,IL
1723,609,Rosa Hibiscus Ale,Herbed / Spiced Beer,12.0 ounce,0.058,15.0,44,Revolution Brewing Company,Chicago,IL
1724,418,Fistmas Ale,Herbed / Spiced Beer,12.0 ounce,0.061,31.0,44,Revolution Brewing Company,Chicago,IL
1725,417,Oktoberfest Revolution,M?rzen / Oktoberfest,12.0 oz.,0.06%,25.0,44,Revolution Brewing Company,Chicago,IL
1726,416,Eugene Porter,American Porter,12.0 oz.,0.068,28.0,44,Revolution Brewing Company,Chicago,IL
1727,415,Anti-Hero IPA,American IPA,12.0 oz,0.065,70.0,44,Revolution Brewing Company,Chicago,IL
1728,414,Bottom Up Belgian Wit,Witbier,12.0 ounce,0.05%,14.0,44,Revolution Brewing Company,Chicago,IL
1729,2452,Hustle,American Amber / Red Ale,12.0 oz.,0.06%,42.0,93,Rhinegeist Brewery,Cincinnati,OH
1730,2451,Pure Fury,American Pale Ale (APA),12.0 oz,0.055,42.0,93,Rhinegeist Brewery,Cincinnati,OH
1731,2132,Dad,American Amber / Red Ale,12.0 oz.,0.06,60.0,93,Rhinegeist Brewery,Cincinnati,OH
1732,1993,Panther,American Porter,12.0 oz.,0.058,35.0,93,Rhinegeist Brewery,Cincinnati,OH
1733,1992,Franz,M?rzen / Oktoberfest,12.0 oz. Alumi-Tek,0.052,21.0,93,Rhinegeist Brewery,Cincinnati,OH
1734,1935,Zen,American Pale Ale (APA),12.0 oz.,0.04%,45.0,93,Rhinegeist Brewery,Cincinnati,OH
1735,1852,Truth,American IPA,12.0 oz.,0.072,75.0,93,Rhinegeist Brewery,Cincinnati,OH
1742,1771,Lil SIPA,American IPA,16.0 ounce,0.05,55.0,321,Rivertown Brewing Company,Lockland,OH
1743,1654,Hop Bomber Rye Pale Ale,American Pale Ale (APA),16.0 oz,0.06%,60.0,321,Rivertown Brewing Company,Lockland,OH
1768,1577,12th Round,American Strong Ale,16.0 oz.,0.076,78.0,376,RoughTail Brewing Company,Midwest City,OK
1769,1576,RoughTail IPA,American IPA,16.0 ounce,0.07,80.0,376,RoughTail Brewing Company,Midwest City,OK
1771,2304,Sundown,Saison / Farmhouse Ale,12.0 ounce,0.07%,36.0,164,Round Guys Brewing,Lansdale,PA
1774,1842,Original Slacker Ale,English Brown Ale,12.0 oz.,0.056,40.0,164,Round Guys Brewing,Lansdale,PA
1777,1552,Dog Days Summer Ale,K?lsch,12.0 oz.,0.05%,28.0,164,Round Guys Brewing,Lansdale,PA
1778,1479,1881 California Red,American Amber / Red Ale,12.0 oz,0.06%,35.0,397,Ruhstaller Beer Company,Sacramento,CA
1779,1478,CAPT Black IPA,American Black Ale,12.0 oz.,0.073,55.0,397,Ruhstaller Beer Company,Sacramento,CA
1780,1370,Ruhstaller's Gilt Edge Lager Beer,American Amber / Red Lager,12.0 oz.,0.048,42.0,397,Ruhstaller Beer Company,Sacramento,CA
1781,883,CAPT Black IPA,American Black Ale,16.0 oz.,0.07%,55.0,397,Ruhstaller Beer Company,Sacramento,CA
1782,882,1881 California Red Ale,American Amber / Red Ale,16.0 ounce,0.056,35.0,397,Ruhstaller Beer Company,Sacramento,CA
1783,1868,Saint Archer White Ale,Witbier,12.0 oz,0.05,15.0,288,Saint Archer Brewery,San Diego,CA
1784,1867,Saint Archer IPA,American IPA,12.0 oz.,0.07%,66.0,288,Saint Archer Brewery,San Diego,CA
1785,1865,Saint Archer Pale Ale,American Pale Ale (APA),12.0 oz.,0.05%,40.0,288,Saint Archer Brewery,San Diego,CA
1786,1864,Saint Archer Blonde,K?lsch,12.0 ounce,0.05%,22.0,288,Saint Archer Brewery,San Diego,CA
1787,2599,Sex Panther,American Porter,12.0 oz.,0.07%,20.000000000000004,30,SanTan Brewing Company,Chandler,AZ
1788,2073,Winter Warmer (Vault Series),Winter Warmer,16.0 ounce,0.095,25.0,30,SanTan Brewing Company,Chandler,AZ
1789,2063,Count Hopula (Vault Series),American Double / Imperial IPA,16.0 oz,0.09%,99.0,30,SanTan Brewing Company,Chandler,AZ
1791,1934,SunSpot Golden Ale,American Blonde Ale,12.0 ounce,0.05%,15.0,30,SanTan Brewing Company,Chandler,AZ
1794,1073,Epicenter Amber Ale,American Amber / Red Ale,12.0 OZ.,0.06%,20.000000000000004,30,SanTan Brewing Company,Chandler,AZ
1795,1072,SanTan HefeWeizen,Hefeweizen,12.0 oz.,0.05%,15.0,30,SanTan Brewing Company,Chandler,AZ
1796,1071,Hop Shock IPA,American IPA,12.0 ounce,0.07,85.0,30,SanTan Brewing Company,Chandler,AZ
1797,852,Sex Panther (2014),American Porter,12.0 oz.,0.07%,20.000000000000004,30,SanTan Brewing Company,Chandler,AZ
1798,850,Devil’s Ale,American Pale Ale (APA),12.0 oz,0.055,45.0,30,SanTan Brewing Company,Chandler,AZ
1800,777,Mr. Pineapple,Fruit / Vegetable Beer,12.0 ounce,0.05,20.000000000000004,30,SanTan Brewing Company,Chandler,AZ
1802,317,Hop Shock IPA (2010),American IPA,12.0 oz,0.07,85.0,30,SanTan Brewing Company,Chandler,AZ
1803,286,SanTan HefeWeizen (2010),Hefeweizen,12.0 oz.,0.05,15.0,30,SanTan Brewing Company,Chandler,AZ
1804,285,Devil’s Ale (2010),American Pale Ale (APA),12.0 ounce,0.06%,45.0,30,SanTan Brewing Company,Chandler,AZ
1805,124,Epicenter Amber Ale (2010),American Amber / Red Ale,12.0 oz.,0.06%,20.000000000000004,30,SanTan Brewing Company,Chandler,AZ
1806,1392,Sanitas Saison Ale,Saison / Farmhouse Ale,12.0 ounce,0.06%,20.000000000000004,419,Sanitas Brewing Company,Boulder,CO
1807,1391,Sanitas Black IPA,American Black Ale,12.0 oz,0.068,65.0,419,Sanitas Brewing Company,Boulder,CO
1808,2002,Giant DIPA,American Double / Imperial IPA,16.0 ounce,0.09%,88.0,252,Santa Cruz Mountain Brewing,Santa Cruz,CA
1811,1519,Saison 88,Saison / Farmhouse Ale,12.0 ounce,0.055,30.0,392,Santa Fe Brewing Company,Santa Fe,NM
1812,967,Black IPA,American Black Ale,12.0 oz,0.071,95.0,392,Santa Fe Brewing Company,Santa Fe,NM
1818,1477,Oval Beach Blonde Ale,American Blonde Ale,16.0 oz.,0.05%,11.0,398,Saugatuck Brewing Company,Douglas,MI
1822,1324,Schlafly Yakima Wheat Ale,American Pale Wheat Ale,12.0 oz,0.05,45.0,428,Schlafly Brewing Company,Saint Louis,MO
1824,1078,Schlafly IPA,American IPA,12.0 ounce,0.05%,30.0,428,Schlafly Brewing Company,Saint Louis,MO
1825,1077,Schlafly American Brown Ale,American Brown Ale,12.0 oz.,0.05,30.0,428,Schlafly Brewing Company,Saint Louis,MO
1826,588,Schlafly Hefeweizen,Hefeweizen,12.0 oz. Alumi-Tek,0.04%,16.0,428,Schlafly Brewing Company,Saint Louis,MO
1827,53,Schlafly Summer Lager,Munich Helles Lager,12.0 oz.,0.05%,17.0,428,Schlafly Brewing Company,Saint Louis,MO
1829,1302,Blur India Pale Ale,American IPA,12.0 oz.,0.074,60.0,432,Seabright Brewery,Santa Cruz,CA
1833,917,Becky's Black Cat Porter,American Porter,16.0 ounce,0.07%,55.0,494,Seven Brides Brewery,Silverton,OR
1834,2250,Seventh Son of a Seventh Son,American Strong Ale,16.0 oz,0.08%,40.0,183,Seventh Son Brewing Company,Columbus,OH
1835,1768,Stone Fort Brown Ale,English Brown Ale,16.0 ounce,0.053,20.000000000000004,183,Seventh Son Brewing Company,Columbus,OH
1836,1767,Seventh Son Hopped Red Ale,American Amber / Red Ale,16.0 ounce,0.077,40.0,183,Seventh Son Brewing Company,Columbus,OH
1837,1766,Humulus Nimbus Super Pale Ale,American Pale Ale (APA),16.0 oz.,0.06,53.0,183,Seventh Son Brewing Company,Columbus,OH
1838,1765,Golden Ratio IPA,American IPA,16.0 oz.,0.07,68.0,183,Seventh Son Brewing Company,Columbus,OH
1841,1539,Monkey Fist IPA,American IPA,12.0 oz.,0.07%,65.0,385,Shipyard Brewing Company,Portland,ME
1846,2239,Torpedo,American IPA,12.0 oz.,0.072,65.0,83,Sierra Nevada Brewing Company,Chico,CA
1849,1905,Sierra Nevada Pale Ale,American Pale Ale (APA),16.0 oz.,0.06%,37.0,83,Sierra Nevada Brewing Company,Chico,CA
1850,1338,Old Chico Crystal Wheat,American Pale Wheat Ale,12.0 ounce,0.05%,26.0,83,Sierra Nevada Brewing Company,Chico,CA
1851,1295,Summerfest,Czech Pilsener,12.0 oz.,0.05%,28.0,83,Sierra Nevada Brewing Company,Chico,CA
1853,400,Sierra Nevada Pale Ale,American Pale Ale (APA),12.0 oz. Alumi-Tek,0.06%,37.0,83,Sierra Nevada Brewing Company,Chico,CA
1858,2574,4Beans,Baltic Porter,12.0 oz. Alumi-Tek,0.1,52.0,46,Sixpoint Craft Ales,Brooklyn,NY
1859,2479,Jammer,Gose,12.0 oz,0.042,16.0,46,Sixpoint Craft Ales,Brooklyn,NY
1862,2090,Bengali,American IPA,24.0 ounce,0.065,62.0,46,Sixpoint Craft Ales,Brooklyn,NY
1863,1962,Sensi Harvest,American Pale Ale (APA),12.0 oz.,0.047,50.0,46,Sixpoint Craft Ales,Brooklyn,NY
1864,1696,Hi-Res,American Double / Imperial IPA,12.0 oz.,0.099,111.0,46,Sixpoint Craft Ales,Brooklyn,NY
1865,1608,Global Warmer,American Strong Ale,12.0 ounce,0.07,70.0,46,Sixpoint Craft Ales,Brooklyn,NY
1867,1388,The Crisp,German Pilsener,16.0 ounce,0.054,42.0,46,Sixpoint Craft Ales,Brooklyn,NY
1868,1387,Sweet Action,Cream Ale,16.0 oz.,0.05%,34.0,46,Sixpoint Craft Ales,Brooklyn,NY
1869,1386,Righteous Ale,Rye Beer,16.0 oz.,0.06%,57.0,46,Sixpoint Craft Ales,Brooklyn,NY
1870,1385,Bengali Tiger,American IPA,16.0 oz,0.064,62.0,46,Sixpoint Craft Ales,Brooklyn,NY
1871,1020,3Beans,Baltic Porter,12.0 oz. Alumi-Tek,0.10%,85.0,46,Sixpoint Craft Ales,Brooklyn,NY
1872,778,Brownstone,American Brown Ale,16.0 oz.,0.059,47.0,46,Sixpoint Craft Ales,Brooklyn,NY
1873,630,Apollo,American Pale Wheat Ale,16.0 oz.,0.052,11.0,46,Sixpoint Craft Ales,Brooklyn,NY
1874,629,Harbinger,Saison / Farmhouse Ale,16.0 ounce,0.049,35.0,46,Sixpoint Craft Ales,Brooklyn,NY
1875,628,Resin,American Double / Imperial IPA,12.0 oz,0.09%,103.0,46,Sixpoint Craft Ales,Brooklyn,NY
1876,525,Diesel,American Stout,16.0 OZ.,0.063,69.0,46,Sixpoint Craft Ales,Brooklyn,NY
1877,512,Autumnation (2011-12) (2011),Pumpkin Ale,16.0 ounce,0.06,48.0,46,Sixpoint Craft Ales,Brooklyn,NY
1878,425,The Crisp (2011),German Pilsener,16.0 ounce,0.05%,42.0,46,Sixpoint Craft Ales,Brooklyn,NY
1879,424,Sweet Action (2011),Cream Ale,16.0 oz.,0.052,34.0,46,Sixpoint Craft Ales,Brooklyn,NY
1880,423,Righteous Ale (2011),Rye Beer,16.0 oz.,0.063,57.0,46,Sixpoint Craft Ales,Brooklyn,NY
1881,422,Bengali Tiger (2011),American IPA,16.0 ounce,0.064,62.0,46,Sixpoint Craft Ales,Brooklyn,NY
1885,1297,Estival Cream Stout,American Stout,12.0 ounce,0.058,15.0,264,Ska Brewing Company,Durango,CO
1889,386,Mexican Logger,American Pale Lager,12.0 ounce,0.042,18.0,264,Ska Brewing Company,Durango,CO
1892,68,ESB Special Ale,Extra Special / Strong Bitter (ESB),12.0 oz,0.057,58.0,264,Ska Brewing Company,Durango,CO
1893,67,Modus Hoperandi,American IPA,12.0 oz.,0.068,65.0,264,Ska Brewing Company,Durango,CO
1894,1792,Iron Butt Red Ale,American Amber / Red Ale,12.0 oz,0.06%,39.0,313,Slanted Rock Brewing Company,Meridian,ID
1895,1609,Initial Point India Pale Ale,American IPA,12.0 ounce,0.071,92.0,313,Slanted Rock Brewing Company,Meridian,ID
1899,2305,Homefront IPA,American IPA,12.0 oz. Alumi-Tek,0.06%,70.0,163,Sly Fox Brewing Company,Phoenixville,PA
1900,1588,Sly Fox Christmas Ale 2013,Winter Warmer,12.0 oz,0.055,16.0,371,Sly Fox Brewing Company,Pottstown,PA
1901,1363,Grisette,Grisette,12.0 ounce,0.056,25.0,371,Sly Fox Brewing Company,Pottstown,PA
1903,1123,Helles Golden Lager,Munich Helles Lager,12.0 ounce,0.049,18.0,371,Sly Fox Brewing Company,Pottstown,PA
1904,926,Sly Fox Christmas Ale 2012 (2012),Winter Warmer,12.0 oz.,0.055,16.0,371,Sly Fox Brewing Company,Pottstown,PA
1905,894,Odyssey Imperial IPA,American Double / Imperial IPA,12.0 oz.,0.084,90.0,371,Sly Fox Brewing Company,Pottstown,PA
1907,24,113 IPA,American IPA,12.0 oz.,0.07,113.0,371,Sly Fox Brewing Company,Pottstown,PA
1908,23,Dunkel Lager,Munich Dunkel Lager,12.0 oz. Alumi-Tek,0.053,21.0,371,Sly Fox Brewing Company,Pottstown,PA
1909,22,Royal Weisse Ale,Hefeweizen,12.0 OZ.,0.06%,11.0,371,Sly Fox Brewing Company,Pottstown,PA
1910,21,Pikeland Pils,German Pilsener,12.0 ounce,0.05%,44.0,371,Sly Fox Brewing Company,Pottstown,PA
1911,20,Phoenix Pale Ale,American Pale Ale (APA),12.0 oz.,0.051,40.0,371,Sly Fox Brewing Company,Pottstown,PA
1912,2407,Rule G IPA,American IPA,12.0 oz,0.07%,88.0,115,Smartmouth Brewing Company,Norfolk,VA
1913,2406,Murphy's Law,American Amber / Red Ale,12.0 oz.,0.058,35.0,115,Smartmouth Brewing Company,Norfolk,VA
1914,2405,Alter Ego,Saison / Farmhouse Ale,12.0 oz,0.062,33.0,115,Smartmouth Brewing Company,Norfolk,VA
1916,1606,Snow King Pale Ale,American Pale Ale (APA),12.0 oz. Alumi-Tek,0.06,55.0,191,Snake River Brewing Company,Jackson,WY
1917,617,Zonker Stout,Foreign / Export Stout,12.0 oz.,0.05%,36.0,191,Snake River Brewing Company,Jackson,WY
1918,407,OB-1 Organic Ale,English Brown Ale,12.0 oz.,0.05,22.0,191,Snake River Brewing Company,Jackson,WY
1919,406,Snake River Lager,Vienna Lager,12.0 oz,0.05,18.0,191,Snake River Brewing Company,Jackson,WY
1920,402,Snake River Pale Ale,American Pale Ale (APA),12.0 oz.,0.052,32.0,191,Snake River Brewing Company,Jackson,WY
1921,393,Pako’s EyePA,American IPA,12.0 oz.,0.068,60.0,191,Snake River Brewing Company,Jackson,WY
1924,1596,Dagger Falls IPA,American IPA,12.0 OZ.,0.063,100.0,309,Sockeye Brewing Company,Boise,ID
1925,1595,Dagger Falls IPA,American IPA,12.0 oz,0.063,100.0,309,Sockeye Brewing Company,Boise,ID
