index,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2964,359567.0833,4.0,0.0,5.0,9.0,92.0,0.0,0.0,1.0,0.56,0.5303,0.52,0.2239,48.0,-315.7372945000001,160.0
4516,359663.1167,3.0,0.0,6.0,1.0,0.0,2.0,1.0,1.0,0.7,0.6667,0.79,0.0896,6.0,51.539169779999995,14.0
15826,368759.1667,4.0,1.0,10.0,14.0,0.0,5.0,1.0,2.0,0.6,0.6061,0.64,0.1343,99.0,252.0,351.0
6076,359735.15,4.0,0.0,2.1594865276093227,17.0,0.0,4.0,1.0,3.0,0.48,0.4697,0.82,0.4627,31.0,230.0,261.0
16414,368639.1833,4.0,1.0,11.0,15.0,0.0,3.0,1.0,1.0,0.46,0.4545,0.36,0.0896,68.0,381.0,449.0
8360,359831.2,4.0,0.0,9.0,23.0,0.0,1.0,1.0,1.0,0.36,0.3485,0.53,0.1642,10.0,50.0,60.0
2841,359447.0833,4.0,0.0,5.0,6.0,28.0,2.0,1.0,2.0,0.52,0.286717723,0.94,0.1642,7.0,102.0,109.0
15076,368735.15,4.0,1.0,9.0,8.0,0.0,2.0,1.0,1.0,0.48,0.4697,0.67,0.194,41.0,764.0,805.0
38,361326.8291029334,92.0,0.0,3.0166156925499203,14.0,5.0,0.0,0.0,3.0,0.36,0.3485,0.76,0.194,4.0,55.0,59.0
17308,368831.2,1.0000000000000036,1.0,12.0,1.7763568394002505e-15,78.0,6.0,0.0,2.0,0.24,0.24239999999999998,0.7,0.0,1.0,25.0,26.0
577,359999.0167,96.0,0.0,1.0,7.0,96.0,3.0,1.0,3.0,0.22000000000000003,0.2121,0.87,0.2985,1.0,29.0,30.0
15913,368879.1667,4.0,1.0,10.0,17.0,0.0,3.0,1.0,2.0,0.4,-0.028266300999999994,0.58,0.1642,39.0,684.0,723.0
4900,360047.1167,3.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.72,0.6667,0.51,0.0,3.0,26.0,29.0
11597,368207.0833,2.0,1.0,3.0,9.0,0.0,4.0,1.0,2.0,0.48,0.4697,0.88,0.10450000000000001,-120.11834290000002,279.0,304.0
882,359591.0333,18.0,0.0,2.0,5.0,2.0,3.0,1.0,1.0,0.06,0.10610000000000003,0.45,0.10450000000000001,0.0,7.0,7.0
4901,360047.1167,3.0,0.0,1.0,2.0,0.0,4.0,1.0,-0.32742452200000005,0.72,0.6667,0.54,0.10450000000000001,2.0,5.0,7.0
2246,368880.0,96.0,0.0,4.0,10.0,1.0,5.0,1.0,2.0,0.36,0.3333,0.71,0.2836,399.3576857,63.0,73.0
4166,360023.1,3.0,0.0,6.0,-20.6163423,0.0,1.0,1.0,2.0,0.7,0.6515,0.58,0.0,55.0,95.0,150.0
17369,368879.2,1.0000000000000036,1.0,12.0,13.0,0.0,1.0,1.0,2.0,0.26,0.2576,0.44,0.1642,38.0,165.0,203.0
13288,363438.82963263785,52.0,1.0,7.0,65.47985234,1.0,4.0,1.0,1.0,0.74,0.6667,0.48,0.2239,75.0,439.0,514.0
5688,359848.7664940592,3.0,0.0,1.0,10.0,0.0,2.0,1.0,1.0,0.7,0.6364,0.39,0.2239,28.0,109.0,137.0
1598,359663.05,31.0,0.0,3.0,1.0,20.0,6.0,0.0,1.0,0.24,0.22730000000000003,0.65,0.194,3.0,15.0,18.0
16557,368783.1833,4.0,1.0,11.0,14.0,0.0,2.0,1.0,3.0,0.28,0.2576,0.87,0.35819999999999996,8.0,86.0,94.0
1902,359975.05,2.0,0.0,3.0,1.7763568394002505e-15,0.0,5.0,1.0,1.0,0.24,0.22730000000000003,0.6,0.194,1.0,17.0,18.0
5889,359543.15,3.0,0.0,1.0,20.0,0.0,3.0,1.0,3.0,0.64,0.5758,0.89,0.0896,3.0,93.0,96.0
9967,368735.0333,78.0,1.0,2.0,7.0,72.0,6.0,0.0,1.0,0.28,0.24239999999999998,0.45,0.4478,3.0,20.0,23.0
14929,361983.0964,3.0,1.0,9.0,5.0,0.0,3.0,1.0,2.0,0.52,0.5,0.68,0.2836,2.0,54.000000000000014,56.0
11525,367220.4863482574,2.0,1.0,1.0,9.0,0.0,1.0,1.0,2.0,0.4,0.4091,0.43,0.194,29.0,239.0,268.0
10911,368231.0667,115.5191597,1.0,1.0,18.0,0.0,3.0,1.0,1.0,0.66,0.6212,0.41,0.2537,113.0,646.0,759.0
16627,368855.1833,4.0,1.0,11.0,13.0,0.0,5.0,1.0,2.0,0.4,0.4091,0.4,0.1642,21.0,241.0,262.0
8256,359735.2,4.0,0.0,1.0,15.0,0.0,4.0,1.0,3.0,0.52,0.5,0.55,0.2239,6.0,76.0,82.0
5788,359447.15,3.0,0.0,1.0,14.0,24.0,6.0,0.0,2.0,0.72,0.6818,0.66,0.1642,204.0,176.0,380.0
13544,368687.1167,71.0,1.0,7.0,12.0,0.0,1.0,1.0,2.0,0.8,0.7424,0.52,0.1642,109.0,205.0,314.0
8087,359567.2,4.0,0.0,1.0,14.0,0.0,4.0,1.0,1.0,0.32,0.303,0.45,0.2537,16.0,121.0,137.0
14982,368639.15,3.0,1.0,9.0,10.0,0.0,5.0,1.0,1.0,0.62,0.6061,0.61,0.2239,44.0,181.0,225.0
4220,360071.1,3.0,0.0,6.0,17.0,0.0,3.0,1.0,1.0,0.82,0.7121,0.26,0.4179,78.0,492.0,570.0
3687,359543.1,2.0,0.0,1.0,12.0,0.0,2.0,1.0,2.0,0.8,0.7273,0.46,0.2836,42.0,141.0,183.0
10044,368807.0333,25.0,1.0,2.0,12.0,0.0,2.0,1.0,1.0,0.36,0.3485,0.34,0.1343,19.0,164.0,183.0
5341,359735.1333,3.0,0.0,6.0,10.0,0.0,1.0,1.0,1.0,0.68,0.6364,0.69,0.2836,54.0,87.0,141.0
3694,359543.1,2.0,0.0,1.0,19.0,0.0,2.0,1.0,1.0,0.76,0.6818,-0.40021208099999994,0.2537,69.0,355.0,424.0
15470,368480.8684734706,4.0,1.0,10.0,18.0,0.0,4.0,1.0,1.0,0.46,0.4545,0.44,0.1642,64.0,628.0,692.0
4383,359696.6042738171,3.0,0.0,1.0,12.0,0.0,3.0,1.0,2.0,0.74,0.697,0.66,0.0896,38.0,114.0,152.0
5319,359711.1333,3.0,0.0,1.0,12.0,57.0,0.0,0.0,2.0,0.7,0.6667,0.79,0.2239,98.0,183.0,281.0
17114,368615.2,4.0,1.0,12.0,20.0,0.0,4.0,1.0,3.0,0.3400000000000001,0.3333,0.76,0.1642,1.0,49.000000000000014,50.0
15019,368663.15,3.0,1.0,9.0,23.0,53.0,18.62987071,0.0,1.0,0.62,0.6212,0.5,0.194,34.0,137.0,171.0
15732,368663.1667,4.0,1.0,10.0,16.0,0.0,1.0,1.0,1.0,0.62,0.6212,0.33,0.1642,80.0,444.0,524.0
7043,359999.1667,4.0,0.0,9.0,1.0,0.0,3.0,1.0,1.0,0.44,0.4394,0.67,0.2537,3.0,9.0,12.0
6577,359519.1667,4.0,0.0,1.0,14.0,0.0,4.0,1.0,1.0,0.58,0.5455,0.43,0.0896,56.0,139.0,195.0
4804,359951.1167,3.0,0.0,1.0,1.0,43.0,0.0,0.0,1.0,0.78,0.7576,0.66,0.10450000000000001,33.0,63.0,96.0
17170,368687.2,1.0000000000000036,1.0,12.0,4.0,1.0,0.0,0.0,1.0,0.2,0.2121,0.47,0.1343,1.0,135.76365079168517,4.0
15059,368711.15,4.0,1.0,9.0,15.0,0.0,10.3781448,1.0,1.0,0.6,0.6212,0.31,0.0,84.0,216.0,300.0
14981,368639.15,3.0,1.0,9.0,9.0,0.0,5.0,1.0,1.0,0.58,0.5455,0.68,0.1343,35.0,348.0,383.0
17346,368855.2,1.0000000000000036,1.0,12.0,14.0,55.0,0.0,0.0,1.0,0.3,0.2727,0.36,0.4627,39.0,121.0,160.0
10338,368399.05,4.0,1.0,3.0,20.0,70.00000000000001,0.0,0.0,1.0,0.44,0.4394,0.47,0.2239,42.0,129.0,171.0
8394,359879.2,1.0000000000000036,0.0,12.0,9.0,0.0,3.0,1.0,2.0,0.4,0.4091,0.87,0.2239,14.0,220.0,234.0
10091,368159.05,35.0,1.0,3.0,12.0,0.0,4.0,1.0,1.0,0.56,0.5303,0.37,0.2239,16.0,204.0,220.0
16200,368423.1833,4.0,1.0,11.0,17.0,1.0,1.0,1.0,1.0,0.56,0.5303,0.64,0.2836,66.0,530.0,596.0
6803,359759.1667,4.0,0.0,1.0,1.7763568394002505e-15,44.0,0.0,0.0,1.0,0.46,0.4545,0.44,0.1343,-58.50950213,85.0,107.0
15489,368423.1667,4.0,1.0,10.0,13.0,0.0,5.0,1.0,1.0,0.56,0.5303,0.37,0.3881,81.0,300.0,381.0
16685,368183.2,4.0,1.0,12.0,14.819856014443477,3.0,0.0,0.0,2.0,0.42,0.4242,0.82,0.1343,7.0,44.000000000000014,51.0
4831,359975.1167,3.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.72,0.7121,0.84,0.0896,0.0,6.0,6.0
15688,368526.47947119933,4.0,1.0,10.0,20.0,5.0,6.0,0.0,1.0,0.5,0.4848,0.39,0.2239,61.0,198.0,259.0
4606,359735.1167,3.0,0.0,1.0,19.0,0.0,5.0,1.0,1.0,0.7,0.6364,0.45,0.2239,114.0,280.0,394.0
8375,359855.2,4.0,0.0,1.0,14.0,0.0,2.0,1.0,2.0,0.44,0.4394,0.58,0.10450000000000001,11.0,127.0,138.0
4794,359927.11666666664,3.0,0.0,7.0,15.0,0.0,6.0,0.0,1.0,0.94,0.8788,0.38,0.0,78.0,137.0,215.0
10888,368423.949648821,2.0,1.0,1.0,19.0,0.0,2.0,1.0,1.0,0.739142305,0.5303,0.26,0.10450000000000001,98.0,460.0,558.0
11747,368351.0833,2.0,1.0,3.0,15.0,0.0,3.0,1.0,2.0,0.64,0.6212,0.53,0.10450000000000001,68.0,191.0,259.0
