Attribute,Index,Dirty Value,Cleaned Value
dteday,11482,368807.0667,368807.06666666665
dteday,11608,368207.0833,368207.0833333333
dteday,11628,368231.0833,368231.0833333333
dteday,11654,368255.0833,368255.0833333333
dteday,11727,368327.0833,368327.0833333333
dteday,11823,368423.0833,368423.0833333333
dteday,11839,368447.0833,368447.0833333333
dteday,11907,368519.0833,368519.0833333333
dteday,11940,368543.0833,368543.0833333333
dteday,11944,368543.0833,368543.0833333333
dteday,11991,368591.0833,368591.0833333333
dteday,12006,368615.0833,368615.0833333333
dteday,12039,368639.0833,368639.0833333333
dteday,12131,368735.0833,368735.0833333333
dteday,12150,368759.0833,368759.0833333333
dteday,12157,368759.0833,368759.0833333333
dteday,12183,368783.0833,368783.0833333333
dteday,12199,368807.0833,368807.0833333333
dteday,12202,368807.0833,368807.0833333333
dteday,12203,368807.0833,368807.0833333333
dteday,12219,368831.0833,368831.0833333333
dteday,12592,378802.1743,368447.1
dteday,12736,354267.4315,368591.1
dteday,12992,367521.4483,368855.1
dteday,13017,368159.1167,368159.1166666666
dteday,13021,368159.1167,368159.1166666666
dteday,13059,368207.1167,368207.1166666666
dteday,13071,368207.1167,368207.1166666666
dteday,13086,368231.1167,368231.1166666666
dteday,13088,368231.1167,368231.1166666666
dteday,13091,368231.1167,368231.1166666666
dteday,13093,368231.1167,368231.1166666666
dteday,13094,368231.1167,368231.1166666666
dteday,13095,368231.1167,368231.1166666666
dteday,13116,368255.1167,368255.1166666666
dteday,13119,368255.1167,368255.1166666666
dteday,13204,368351.1167,368351.1166666666
dteday,13212,368351.1167,368351.1166666666
dteday,13216,368351.1167,368351.1166666666
dteday,13236,368375.1167,368375.1166666666
dteday,13239,368375.1167,368375.1166666666
dteday,13251,368399.1167,368399.1166666666
dteday,13260,368399.1167,368399.1166666666
dteday,13264,368399.1167,368399.1166666666
dteday,13284,368423.1167,368423.1166666666
dteday,13288,368423.1167,368423.1166666666
dteday,13308,351071.6589,368447.1166666666
dteday,13311,368447.1167,368447.1166666666
dteday,13327,368471.1167,368471.1166666666
dteday,13328,368471.1167,368471.1166666666
dteday,13333,368471.1167,368471.1166666666
dteday,13335,368471.1167,368471.1166666666
dteday,13351,368495.1167,368495.1166666666
dteday,13352,368495.1167,368495.1166666666
dteday,13354,368495.1167,368495.1166666666
dteday,13355,368495.1167,368495.1166666666
dteday,13356,368495.1167,368495.1166666666
dteday,13357,368495.1167,368495.1166666666
dteday,13371,368519.1167,368519.1166666666
dteday,13384,368519.1167,368519.1166666666
dteday,13407,368543.1167,368543.1166666666
dteday,13408,359781.7344,368543.1166666666
dteday,13419,368567.1167,368567.1166666666
dteday,13443,368591.1167,368591.1166666666
dteday,13456,368591.1167,368591.1166666666
dteday,13496,368639.1167,368639.1166666666
dteday,13519,368663.1167,368663.1166666666
dteday,13520,368663.1167,368663.1166666666
dteday,13539,368687.1167,368687.1166666666
dteday,13548,368687.1167,368687.1166666666
dteday,13572,368711.1167,368711.1166666666
dteday,13587,368735.1167,368735.1166666666
dteday,13596,368735.1167,368735.1166666666
dteday,13611,368759.1167,368759.1166666666
dteday,13624,368759.1167,368759.1166666666
dteday,13635,368783.1167,368783.1166666666
dteday,13647,368783.1167,368783.1166666666
dteday,13663,368807.1167,368807.1166666666
dteday,13665,368807.1167,368807.1166666666
dteday,13666,368807.1167,368807.1166666666
dteday,13667,368807.1167,368807.1166666666
dteday,13668,368807.1167,368807.1166666666
dteday,13669,368807.1167,368807.1166666666
dteday,13687,368831.1167,368831.1166666666
dteday,13688,368831.1167,368831.1166666666
dteday,13689,368831.1167,368831.1166666666
dteday,13690,382900.2491,368831.1166666666
dteday,13691,368831.1167,368831.1166666666
dteday,13694,368831.1167,368831.1166666666
dteday,13695,368831.1167,368831.1166666666
dteday,13716,368855.1167,368855.1166666666
dteday,13720,368855.1167,368855.1166666666
dteday,13731,368879.1167,368879.1166666666
dteday,13744,368879.1167,368879.1166666666
dteday,13755,368159.1333,368159.13333333336
dteday,13764,368159.1333,368159.13333333336
dteday,13768,368159.1333,368159.13333333336
dteday,13779,368183.1333,368183.13333333336
dteday,13788,368183.1333,368183.13333333336
dteday,13803,368207.1333,368207.13333333336
dteday,13812,368207.1333,368207.13333333336
dteday,13815,368207.1333,368207.13333333336
dteday,13831,368231.1333,368231.13333333336
dteday,13834,368231.1333,368231.13333333336
dteday,13835,368231.1333,368231.13333333336
dteday,13836,368231.1333,368231.13333333336
dteday,13838,368231.1333,368231.13333333336
dteday,13855,368255.1333,368255.13333333336
dteday,13857,368255.1333,368255.13333333336
dteday,13858,368255.1333,368255.13333333336
dteday,13859,368255.1333,368255.13333333336
dteday,13860,368255.1333,368255.13333333336
dteday,13875,368279.1333,368279.13333333336
dteday,13884,368279.1333,368279.13333333336
dteday,13888,365141.2049,368279.13333333336
dteday,13899,368303.1333,368303.13333333336
dteday,13908,368303.1333,368303.13333333336
dteday,13911,368303.1333,368303.13333333336
dteday,13912,368303.1333,368303.13333333336
dteday,13923,368327.1333,368327.13333333336
dteday,13932,368327.1333,368327.13333333336
dteday,13936,368327.1333,368327.13333333336
dteday,13947,368351.1333,368351.13333333336
dteday,13956,368351.1333,368351.13333333336
dteday,13960,368351.1333,368351.13333333336
dteday,13980,368375.1333,368375.13333333336
dteday,13983,368375.1333,368375.13333333336
dteday,13999,368399.1333,368399.13333333336
dteday,14004,368399.1333,368399.13333333336
dteday,14005,368399.1333,368399.13333333336
dteday,14024,368423.1333,368423.13333333336
dteday,14025,368423.1333,368423.13333333336
dteday,14028,368423.1333,368423.13333333336
dteday,14029,368423.1333,368423.13333333336
dteday,14030,368423.1333,368423.13333333336
dteday,14043,368447.1333,368447.13333333336
dteday,14052,398317.5445,368447.13333333336
dteday,14056,368447.1333,368447.13333333336
dteday,14076,368471.1333,368471.13333333336
dteday,14080,368471.1333,368471.13333333336
dteday,14091,368495.1333,368495.13333333336
dteday,14093,368495.1333,368495.13333333336
dteday,14100,368495.1333,368495.13333333336
dteday,14104,368495.1333,368495.13333333336
dteday,14115,368519.1333,368519.13333333336
dteday,14124,368519.1333,368519.13333333336
dteday,14128,368519.1333,368519.13333333336
dteday,14148,368543.1333,368543.13333333336
dteday,14151,368543.1333,368543.13333333336
dteday,14166,368567.1333,368567.13333333336
dteday,14167,368567.1333,368567.13333333336
dteday,14175,368567.1333,368567.13333333336
dteday,14190,368591.1333,368591.13333333336
dteday,14220,368615.1333,368615.13333333336
dteday,14235,368639.1333,368639.13333333336
dteday,14244,368639.1333,368639.13333333336
dteday,14247,368639.1333,368639.13333333336
dteday,14268,368663.1333,368663.13333333336
dteday,14272,368663.1333,368663.13333333336
dteday,14283,368687.1333,368687.13333333336
dteday,14292,368687.1333,368687.13333333336
dteday,14296,368687.1333,368687.13333333336
dteday,14307,368711.1333,368711.13333333336
dteday,14316,368711.1333,368711.13333333336
dteday,14319,368711.1333,368711.13333333336
dteday,14334,368735.1333,368735.13333333336
dteday,14335,368735.1333,368735.13333333336
dteday,14337,368735.1333,368735.13333333336
dteday,14338,368735.1333,368735.13333333336
dteday,14340,368735.1333,368735.13333333336
dteday,14359,368759.1333,368759.13333333336
dteday,14361,368759.1333,368759.13333333336
dteday,14379,368783.1333,368783.13333333336
dteday,14388,368783.1333,368783.13333333336
dteday,14392,368783.1333,368783.13333333336
dteday,14412,368807.1333,368807.13333333336
dteday,14416,368807.1333,368807.13333333336
dteday,14427,368831.1333,368831.13333333336
dteday,14436,368831.1333,368831.13333333336
dteday,14440,368831.1333,368831.13333333336
dteday,14451,368855.1333,368855.13333333336
dteday,14453,368855.1333,368855.13333333336
dteday,14460,368855.1333,368855.13333333336
dteday,14464,368855.1333,368855.13333333336
dteday,14475,368879.1333,368879.13333333336
dteday,14482,368879.1333,368879.13333333336
dteday,14483,368879.1333,368879.13333333336
dteday,14484,368879.1333,368879.13333333336
dteday,14487,368879.1333,368879.13333333336
dteday,14503,371341.9117,368159.15
dteday,14583,370630.8552,368231.15
dteday,14673,347231.1033,368327.15
dteday,14695,358159.3432,368351.15
dteday,14775,405794.7982,368423.15
dteday,14812,345468.5895,368471.15
dteday,14863,361263.0342,368519.15
dteday,14883,353315.5568,368543.15
dteday,15219,368159.1667,368159.1666666667
dteday,15220,363962.9309,368159.1666666667
dteday,15228,368159.1667,368159.1666666667
dteday,15229,368159.1667,368159.1666666667
dteday,15230,368159.1667,368159.1666666667
dteday,15231,368159.1667,368159.1666666667
dteday,15253,368183.1667,368183.1666666667
dteday,15254,368183.1667,368183.1666666667
dteday,15267,368207.1667,368207.1666666667
dteday,15268,368207.1667,368207.1666666667
dteday,15276,368207.1667,368207.1666666667
dteday,15277,368207.1667,368207.1666666667
dteday,15278,368207.1667,368207.1666666667
dteday,15279,368207.1667,368207.1666666667
dteday,15280,368207.1667,368207.1666666667
dteday,15292,368231.1667,368231.1666666667
dteday,15300,368231.1667,368231.1666666667
dteday,15301,368231.1667,368231.1666666667
dteday,15302,368231.1667,368231.1666666667
dteday,15303,368231.1667,368231.1666666667
dteday,15304,368231.1667,368231.1666666667
dteday,15316,368255.1667,368255.1666666667
dteday,15320,368255.1667,368255.1666666667
dteday,15323,368255.1667,368255.1666666667
dteday,15324,368255.1667,368255.1666666667
dteday,15325,368255.1667,368255.1666666667
dteday,15326,368255.1667,368255.1666666667
dteday,15327,368255.1667,368255.1666666667
dteday,15342,368279.1667,368279.1666666667
dteday,15343,368279.1667,368279.1666666667
dteday,15344,368279.1667,368279.1666666667
dteday,15345,368279.1667,368279.1666666667
dteday,15346,368279.1667,368279.1666666667
dteday,15347,368279.1667,368279.1666666667
dteday,15348,368279.1667,368279.1666666667
dteday,15349,368279.1667,368279.1666666667
dteday,15350,368279.1667,368279.1666666667
dteday,15397,368327.1667,368327.1666666667
dteday,15412,368351.1667,368351.1666666667
dteday,15421,368351.1667,368351.1666666667
dteday,15422,368351.1667,368351.1666666667
dteday,15423,368351.1667,368351.1666666667
dteday,15435,368375.1667,368375.1666666667
dteday,15436,368375.1667,368375.1666666667
dteday,15444,368375.1667,368375.1666666667
dteday,15445,368375.1667,368375.1666666667
dteday,15446,368375.1667,368375.1666666667
dteday,15447,368375.1667,368375.1666666667
dteday,15459,368399.1667,368399.1666666667
dteday,15460,368399.1667,368399.1666666667
dteday,15467,368399.1667,368399.1666666667
dteday,15468,368399.1667,368399.1666666667
dteday,15469,381735.6139,368399.1666666667
dteday,15470,368399.1667,368399.1666666667
dteday,15471,368399.1667,368399.1666666667
dteday,15472,368399.1667,368399.1666666667
dteday,15484,368423.1667,368423.1666666667
dteday,15492,368423.1667,368423.1666666667
dteday,15493,396420.6531,368423.1666666667
dteday,15494,368423.1667,368423.1666666667
dteday,15495,368423.1667,368423.1666666667
dteday,15511,368447.1667,368447.1666666667
dteday,15512,368447.1667,368447.1666666667
dteday,15513,368447.1667,368447.1666666667
dteday,15514,368447.1667,368447.1666666667
dteday,15515,368447.1667,368447.1666666667
dteday,15516,368447.1667,368447.1666666667
dteday,15517,368447.1667,368447.1666666667
dteday,15518,368447.1667,368447.1666666667
dteday,15535,368471.1667,368471.1666666667
dteday,15536,368471.1667,368471.1666666667
dteday,15537,368471.1667,368471.1666666667
dteday,15538,356701.9148,368471.1666666667
dteday,15539,368471.1667,368471.1666666667
dteday,15540,368471.1667,368471.1666666667
dteday,15541,368471.1667,368471.1666666667
dteday,15542,368471.1667,368471.1666666667
dteday,15555,368495.1667,368495.1666666667
dteday,15556,368495.1667,368495.1666666667
dteday,15564,368495.1667,368495.1666666667
dteday,15565,368495.1667,368495.1666666667
dteday,15566,368495.1667,368495.1666666667
