Attribute,Index,Dirty Value,Cleaned Value
Clump Thickness,108,1,5
Clump Thickness,142,22,5
Clump Thickness,313,empty,5
Clump Thickness,170,empty,5
Clump Thickness,418,11,5
Clump Thickness,512,empty,5
Clump Thickness,172,11,5
Clump Thickness,582,1,5
Clump Thickness,226,empty,5
Clump Thickness,592,2,5
Clump Thickness,481,55,5
Clump Thickness,514,empty,5
Clump Thickness,594,55,5
Clump Thickness,448,55,5
Clump Thickness,659,77,5
Clump Thickness,37,1a0,5
Clump Thickness,60,empty,5
Clump Thickness,504,44,4
Clump Thickness,267,1,5
Clump Thickness,352,empty,5
Clump Thickness,523,1,5
Clump Thickness,420,empty,5
Clump Thickness,443,empty,5
Clump Thickness,622,empty,5
Clump Thickness,187,1,5
Clump Thickness,198,6,5
Clump Thickness,294,empty,5
Clump Thickness,130,11,5
Clump Thickness,233,88,5
Clump Thickness,283,1,5
Clump Thickness,623,empty,5
Clump Thickness,201,99,5
Clump Thickness,499,empty,5
Clump Thickness,680,empty,5
Clump Thickness,340,88,5
Clump Thickness,346,empty,5
Clump Thickness,647,empty,5
Clump Thickness,475,empty,5
Clump Thickness,103,44,5
Uniformity of Cell Size,150,88,9.828001348430496
Uniformity of Cell Size,125,empty,8.138790995324197
Uniformity of Cell Size,480,88,10
Uniformity of Cell Size,412,10,1
Uniformity of Cell Size,435,9,1
Uniformity of Cell Size,4,8,10
Uniformity of Cell Size,51,empty,10
Uniformity of Cell Size,630,empty,1
Uniformity of Cell Size,75,66,4.760370289111597
Uniformity of Cell Size,140,empty,1
Uniformity of Cell Size,598,11,3.0711599360052975
Uniformity of Cell Size,263,empty,8
Uniformity of Cell Size,587,empty,10
Uniformity of Cell Size,148,11,1
Uniformity of Cell Size,144,empty,1
Uniformity of Cell Size,395,22,3.0711599360052975
Uniformity of Cell Size,372,empty,3.0711599360052975
Uniformity of Cell Size,550,8,3.0711599360052975
Uniformity of Cell Size,359,10,6.449580642217897
Uniformity of Cell Size,407,22,2
Uniformity of Cell Size,33,empty,7
Uniformity of Cell Size,289,1,3.0711599360052975
Uniformity of Cell Size,15,7,1.3819495828989976
Uniformity of Cell Size,41,empty,3.0711599360052975
Uniformity of Cell Size,338,empty,1
Uniformity of Cell Size,697,10,1
Uniformity of Cell Size,566,empty,10
Uniformity of Cell Size,14,empty,1
Uniformity of Cell Size,316,6,6.449580642217897
Uniformity of Cell Size,253,33,3.0711599360052975
Uniformity of Cell Size,344,empty,1
Uniformity of Cell Size,309,8,1.3819495828989976
Uniformity of Cell Size,72,10,1.3819495828989976
Uniformity of Cell Shape,334,1,3.549866428586974
Uniformity of Cell Shape,606,10,1.7738886798813254
Uniformity of Cell Shape,645,empty,1.7738886798813254
Uniformity of Cell Shape,480,empty,10
Uniformity of Cell Shape,155,empty,1.7738886798813254
Uniformity of Cell Shape,539,11,1.7738886798813254
Uniformity of Cell Shape,617,empty,1.7738886798813254
Uniformity of Cell Shape,46,11,1.7738886798813254
Uniformity of Cell Shape,676,10,1.7738886798813254
Uniformity of Cell Shape,4,8,7.101821925998271
Uniformity of Cell Shape,38,1,2.3658812627832084
Uniformity of Cell Shape,153,empty,8
Uniformity of Cell Shape,104,33,2.3658812627832084
Uniformity of Cell Shape,524,66,4.141859011488857
Uniformity of Cell Shape,620,empty,1.7738886798813254
Uniformity of Cell Shape,39,empty,3.549866428586974
Uniformity of Cell Shape,648,empty,1.7738886798813254
Uniformity of Cell Shape,97,empty,1.7738886798813254
Uniformity of Cell Shape,629,empty,1.7738886798813254
Uniformity of Cell Shape,36,7,1.7738886798813254
Uniformity of Cell Shape,597,empty,1.7738886798813254
Uniformity of Cell Shape,379,7,1.7738886798813254
Uniformity of Cell Shape,419,empty,2.3658812627832084
Uniformity of Cell Shape,41,6,3
Uniformity of Cell Shape,252,empty,3.549866428586974
Uniformity of Cell Shape,697,1,1.7738886798813254
Uniformity of Cell Shape,653,11,1.7738886798813254
Uniformity of Cell Shape,563,empty,1.7738886798813254
Marginal Adhesion,145,empty,3
Marginal Adhesion,412,empty,3
Marginal Adhesion,58,empty,3
Marginal Adhesion,95,empty,3
Marginal Adhesion,643,empty,3
Marginal Adhesion,452,11,3
Marginal Adhesion,686,empty,3
Marginal Adhesion,27,empty,3
Marginal Adhesion,264,empty,3
Marginal Adhesion,602,empty,3
Marginal Adhesion,581,empty,3
Marginal Adhesion,152,11,3
Marginal Adhesion,469,11,3
Marginal Adhesion,267,empty,3
Marginal Adhesion,495,10,3
Marginal Adhesion,550,77,3
Marginal Adhesion,537,empty,3
Marginal Adhesion,510,empty,3
Marginal Adhesion,497,empty,3
Marginal Adhesion,646,11,3
Marginal Adhesion,554,empty,3
Marginal Adhesion,41,9,3
Marginal Adhesion,270,11,3
Marginal Adhesion,316,6,3
Marginal Adhesion,683,empty,3
Marginal Adhesion,244,empty,3
Marginal Adhesion,414,11,3
Marginal Adhesion,436,empty,3
Single Epithelial Cell Size,320,6,3
Single Epithelial Cell Size,226,22,3
Single Epithelial Cell Size,375,empty,3
Single Epithelial Cell Size,592,empty,3
Single Epithelial Cell Size,535,22,3
Single Epithelial Cell Size,194,empty,3
Single Epithelial Cell Size,479,empty,3
Single Epithelial Cell Size,498,empty,3
Single Epithelial Cell Size,227,44,3
Single Epithelial Cell Size,404,22,3
Single Epithelial Cell Size,369,empty,3
Single Epithelial Cell Size,112,empty,3
Single Epithelial Cell Size,39,22,3
Single Epithelial Cell Size,424,22,3
Single Epithelial Cell Size,144,22,3
Single Epithelial Cell Size,395,empty,3
Single Epithelial Cell Size,130,10,3
Single Epithelial Cell Size,359,empty,3
Single Epithelial Cell Size,658,8,3
Single Epithelial Cell Size,218,empty,3
Single Epithelial Cell Size,289,empty,3
Single Epithelial Cell Size,157,empty,3
Single Epithelial Cell Size,41,6,3
Single Epithelial Cell Size,270,empty,3
Single Epithelial Cell Size,2,7,3
Single Epithelial Cell Size,367,empty,3
Single Epithelial Cell Size,316,7,3
Single Epithelial Cell Size,190,empty,3
Single Epithelial Cell Size,662,empty,3
Single Epithelial Cell Size,373,22,3
Single Epithelial Cell Size,107,empty,3
Bare Nuclei,180,1a0,3
Bare Nuclei,143,55,3
Bare Nuclei,519,empty,3
Bare Nuclei,412,?,3
Bare Nuclei,435,8,3
Bare Nuclei,539,empty,3
Bare Nuclei,6,empty,3
Bare Nuclei,286,3,10
Bare Nuclei,310,55,3
Bare Nuclei,140,?,3
Bare Nuclei,298,?,3
Bare Nuclei,147,88,3
Bare Nuclei,148,10,2
Bare Nuclei,123,empty,3
Bare Nuclei,160,1a0,3
Bare Nuclei,525,empty,1
Bare Nuclei,623,11,3
Bare Nuclei,289,11,3
Bare Nuclei,402,empty,3
Bare Nuclei,2,10,3
Bare Nuclei,565,11,3
Bare Nuclei,316,?,3
Bare Nuclei,388,empty,1
Bare Nuclei,476,empty,3
Bare Nuclei,253,10,3
Bare Nuclei,22,empty,3
Bare Nuclei,88,empty,3
Bare Nuclei,615,empty,3
Bland Chromatin,320,7,3
Bland Chromatin,466,77,3
Bland Chromatin,306,empty,3
Bland Chromatin,368,empty,3
Bland Chromatin,491,empty,3
Bland Chromatin,302,33,3
Bland Chromatin,399,empty,3
Bland Chromatin,375,22,3
Bland Chromatin,592,1,3
Bland Chromatin,602,22,3
Bland Chromatin,152,1,3
Bland Chromatin,9,empty,3
Bland Chromatin,37,empty,3
Bland Chromatin,263,77,7
Bland Chromatin,151,33,3
Bland Chromatin,417,77,3
Bland Chromatin,523,empty,3
Bland Chromatin,123,55,3
Bland Chromatin,220,33,3
Bland Chromatin,510,11,3
Bland Chromatin,385,empty,3
Bland Chromatin,569,empty,3
Bland Chromatin,348,empty,3
Bland Chromatin,525,22,2
Bland Chromatin,564,empty,3
Bland Chromatin,574,8,3
Bland Chromatin,129,1,3
Bland Chromatin,41,7,3
Bland Chromatin,477,8,3
Bland Chromatin,2,33,3
Bland Chromatin,562,empty,3
Bland Chromatin,206,empty,3
Bland Chromatin,436,1,3
Normal Nucleoli,117,2,3
Normal Nucleoli,275,2,3
Normal Nucleoli,383,2,3
Normal Nucleoli,351,11,3
Normal Nucleoli,435,2,3
Normal Nucleoli,356,2,3
Normal Nucleoli,323,empty,3
Normal Nucleoli,256,empty,3
Normal Nucleoli,6,2,3
Normal Nucleoli,399,2,3
Normal Nucleoli,676,11,3
Normal Nucleoli,4,7,3
Normal Nucleoli,27,11,3
Normal Nucleoli,68,99,3
Normal Nucleoli,366,empty,3
Normal Nucleoli,153,1a0,10
Normal Nucleoli,422,22,2
Normal Nucleoli,75,2,3
Normal Nucleoli,54,empty,3
Normal Nucleoli,152,empty,3
Normal Nucleoli,659,empty,3
Normal Nucleoli,298,empty,3
Normal Nucleoli,441,empty,3
Normal Nucleoli,417,2,3
Normal Nucleoli,147,empty,3
Normal Nucleoli,464,2,3
Normal Nucleoli,240,33,3
Normal Nucleoli,470,11,3
Normal Nucleoli,387,empty,3
Normal Nucleoli,629,11,3
Normal Nucleoli,525,2,1
Normal Nucleoli,658,6,3
Normal Nucleoli,5,empty,3
Normal Nucleoli,201,empty,3
Normal Nucleoli,379,2,3
Normal Nucleoli,419,2,3
Normal Nucleoli,392,99,3
Normal Nucleoli,139,empty,3
Normal Nucleoli,63,33,3
Normal Nucleoli,41,8,3
Normal Nucleoli,106,2,3
Normal Nucleoli,390,2,3
Normal Nucleoli,2,2,3
Normal Nucleoli,653,2,3
Normal Nucleoli,565,2,3
Normal Nucleoli,316,9,3
Normal Nucleoli,167,empty,3
Normal Nucleoli,485,empty,3
Normal Nucleoli,683,2,3
Normal Nucleoli,314,empty,3
Normal Nucleoli,386,2,3
Normal Nucleoli,492,empty,3
Mitoses,690,8,1
Mitoses,394,empty,1
Mitoses,321,66,6
Mitoses,273,11,1
Mitoses,686,11,1
Mitoses,413,11,1
Mitoses,489,empty,1
Mitoses,422,empty,1
Mitoses,9,5,1
Mitoses,417,empty,1
Mitoses,451,empty,1
Mitoses,603,11,1
Mitoses,470,empty,1
Mitoses,325,empty,1
Mitoses,542,11,1
Mitoses,635,empty,1
Mitoses,442,11,1
Mitoses,160,6,1
Mitoses,379,empty,1
Mitoses,217,empty,1
Mitoses,456,empty,2
Mitoses,316,7,1
Mitoses,59,empty,1
Mitoses,161,1,2
Mitoses,309,empty,1
Mitoses,373,empty,1
class,223,4,2
class,688,4,2
class,573,4,2
class,349,4,2
