Attribute,Index,Dirty Value,Cleaned Value,Clean Value
x,62,-0.413745593,-0.4137455930000002,-5.771332
x,213,-0.78344746,-0.7834474600000001,-6.009369
x,363,-0.444140117,-0.4441401169999999,-5.9498596
x,657,-0.477212533,-0.4772125329999999,-5.908203
x,1363,-0.662751657,-0.6627516569999998,-5.8582153
x,1422,-0.244354131,-0.2443541310000001,-5.8284607
x,2063,-1.140826882,-1.1408268820000005,-5.836792
x,2555,-0.295832092,-0.2958320919999999,-5.8522644
x,2908,-0.808929838,-0.8089298380000001,-5.7820435
x,3288,-0.002780611,-0.0027806109999999,-5.8010864
x,3723,-6.907691761,-6.907691761000001,-5.7963257
x,3914,-0.8050347,-0.8050346999999998,-5.7618103
x,4361,-6.678510708,-6.678510708000001,-5.7499084
x,4404,-1.177654545,-1.1776545449999998,-5.8141785
x,4670,-1.685956485,-1.6859564850000002,-5.785614
x,4714,-0.667191058,-0.6671910579999998,-5.8403625
x,5726,-1.336211393,-1.3362113929999997,-5.7951355
x,6170,-1.584529994,-1.5845299939999995,-5.901062
x,6477,-1.718075393,-1.7180753929999997,-5.855835
x,6487,-0.521843911,-0.5218439109999999,-5.8260803
x,6493,-0.547195064,-0.5471950639999998,-5.8927307
x,6624,-0.470880409,-0.4708804089999998,-5.7939453
x,7556,-0.552494295,-0.5524942950000002,-5.7641907
x,7818,-0.80434726,-0.8043472600000001,-5.767761
x,8155,-0.023171748,-0.0231717480000002,-5.95224
x,8820,-0.251429467,-0.2514294669999999,-5.8582153
x,8973,-1.750627119,-1.7506271190000002,-5.867737
x,9116,-6.626670385,-6.626670384999999,-5.8475037
x,10263,-0.115328665,-0.1153286650000002,-5.8260803
x,10338,-0.39422926,-0.3942292599999999,-5.8463135
x,10572,-0.778084023,-0.7780840229999999,-5.639221
x,10612,-6.516743723,-6.516743723000001,-5.6987305
x,11152,-0.105776137,-0.1057761369999998,-5.836792
x,11156,-0.478848923,-0.4788489230000001,-5.882019
x,11266,-0.37319975,-0.3731997499999999,-5.8915405
x,11434,-0.888827093,-0.8888270930000002,-5.811798
x,11789,-0.569092438,-0.5690924379999998,-5.862976
x,11957,-0.228829618,-0.2288296180000002,-5.843933
x,11991,-0.302059717,-0.3020597170000001,-5.8141785
x,12587,-0.761372538,-0.7613725380000003,-5.893921
x,12602,-0.120447026,-0.1204470259999999,-5.88797
x,12694,-0.54522784,-0.5452278399999999,-5.8665466
x,13130,-0.052630499,-0.0526304990000001,-5.8129883
