Attribute,Index,Dirty Value,Clean Value
x,6234,-3.656494246,-5.818939
x,47950,-7.040872366,0.40216064
x,65366,-4.042617679,0.33312988
x,35660,-5.623073271,-6.086731
x,25276,-1.947821282,-6.1617126
x,14932,-1.4944403,-5.702301
x,56332,-6.007220685,0.33432007
x,41649,-2.80244624,0.4795227
x,69502,-5.463042246,0.37597656
x,15189,-3.1350266,-5.5975647
x,47640,-2.552311993,0.36764526
x,55015,-2.337608699,0.4223938
x,56971,-1.3363775,0.3652649
x,12407,-4.127320727,-5.8903503
x,63536,-2.18152817,0.31289673
x,55234,0.234524967,0.3890686
x,49634,-5.00206796,0.40454102
x,53021,-4.206407669,0.28671265
x,31785,-3.775296718,-6.152191
x,64279,-1.230206512,0.30218506
x,16022,-2.722815192,-6.2759705
x,44305,-6.237465733,0.47476196
x,57331,-5.214379089,0.4140625
x,59078,-6.935220239,0.38668823
x,54607,-6.392886592,0.31170654
x,25731,-2.459893978,-6.183136
x,42665,-3.179823296,0.39382935
x,63857,-6.163585422,0.40811157
x,57972,-2.891202113,0.3486023
x,18118,-4.928947741,-6.2569275
x,48362,-2.03141587,0.40216064
x,51889,-3.214186678,0.35217285
x,53976,-5.057290734,0.37954712
x,53046,-2.074422918,0.29504395
x,27630,-1.1052135,-6.2128906
x,22149,-6.484283817,-6.197418
x,23932,-2.839903902,-6.0950623
x,54563,-5.5719032,0.36764526
x,50687,-0.842087491,0.5235596
x,3916,-2.075003299,-5.771332
x,39269,-1.902727121,-6.3676147
x,59228,-1.534357472,0.3652649
x,42126,-0.138782049,0.45333862
x,35139,-5.610322531,-6.0462646
x,11205,-7.077520318,-5.785614
x,27672,-5.736578206,-6.235504
x,55838,-1.4870076,0.34265137
x,58581,-2.278912339,0.3140869
x,57366,-2.93355451,0.36169434
x,46192,-2.518842302,0.4973755
x,45020,-6.594653062,0.5140381
x,52540,-2.332758385,0.4069214
x,45438,-5.793325641,0.45095825
x,60731,-3.112781764,0.32598877
x,41047,0.652453655,0.26409912
x,60185,-3.864046291,0.31884766
x,15504,-1.025625004,-5.912964
x,43429,-3.192762485,0.33312988
x,65515,-5.172588958,0.3307495
x,48769,-4.025420296,0.40454102
x,43553,-6.373454272,0.3652649
x,52181,-0.812178512,0.2902832
x,47698,-2.349421682,0.33432007
x,40920,-4.548095602,-0.037017822
x,68886,-4.773929918,0.32836914
x,48988,-3.422552413,0.44262695
x,56014,-1.946523559,0.34146118
x,50269,-1.777648233,0.43548584
x,43623,-6.889557125,0.35931396
x,67382,-5.123060526,0.32003784
x,58084,-7.072676849,0.23553467
x,62974,-2.066719182,0.40454102
x,47216,-1.398995624,0.31765747
x,50352,-4.108709525,0.4140625
x,55425,-7.019807826,0.44976807
x,61366,-1.922476065,0.40811157
x,12952,-6.065821859,-5.803467
x,41388,-5.14915302,0.3973999
x,42402,-3.836176642,0.36764526
x,45700,-4.623662845,0.5461731
x,49819,-1.573120707,0.3890686
x,39281,-3.890946221,-6.3473816
x,69154,-6.270517023,0.41763306
x,64524,-6.393519721,0.4212036
x,49429,-2.748584424,0.4640503
x,66664,-5.38291873,0.42834473
x,53974,-4.336205968,0.4628601
x,45443,-5.592460972,0.46524048
x,58914,-2.933858459,0.3486023
x,11504,-2.21331276,-5.733246
x,57032,-6.649200679,0.37835693
x,64065,-2.402444871,0.38430786
x,31220,-0.0987643,-6.215271
x,68674,-4.712890149,0.41763306
x,43916,0.314625548,0.29623413
x,67350,-7.02053552,0.39382935
x,61186,-0.28972978,0.4628601
x,47382,-1.421287689,0.41168213
x,34314,-1.834640629,-6.068878
x,54395,-6.056459372,0.3307495
x,50426,-4.470265983,0.39978027
x,3975,-2.151515117,-5.843933
x,63841,-4.945929775,0.3319397
x,22227,-3.428112001,-6.170044
x,60557,-3.773943244,0.34384155
x,46975,-0.92029003,0.35217285
x,26077,-2.949510338,-6.0141296
x,26462,-2.3881274,-6.2105103
x,69546,-6.272662129,0.35931396
x,24691,-4.952530025,-6.1045837
x,60470,-1.424996955,0.39144897
x,17470,-4.91055179,-6.203369
x,43389,-1.643722458,0.34384155
x,62873,-5.255596721,0.3652649
x,26694,-2.89189277,-6.028412
x,58490,-4.955325904,0.3973999
x,59025,-6.3623045,0.3236084
x,32880,-2.318324236,-6.1557617
x,11409,-2.8205268,-5.8784485
x,69133,-2.069021823,0.372406
x,67559,-2.239848972,0.33670044
x,63083,-6.233551488,0.39263916
x,59569,-2.225670716,0.4223938
x,64714,-5.834113726,0.3640747
x,52274,-2.070725338,0.35336304
x,46983,-2.169469623,0.37835693
x,46020,-2.113146702,0.28909302
x,51217,-1.706624036,0.22958374
x,35615,-3.937732527,-6.0760193
x,61260,-6.183927839,0.38787842
x,50702,-3.702935583,0.3902588
x,41354,-3.493832219,0.2652893
x,52609,-5.215457605,0.29623413
x,46455,-2.510508815,0.36883545
x,58289,-2.315484616,0.35217285
x,68182,-6.212953818,0.40811157
x,46638,-3.39975832,0.41168213
x,51737,-6.624622573,0.3164673
x,68619,-4.452207405,0.38311768
x,67073,-5.421018615,0.3069458
x,51839,-6.054336523,0.3307495
x,55081,-2.701122651,0.40216064
x,9336,-0.740425551,-5.8594055
x,24768,-1.892707001,-6.1081543
x,67400,-5.734922618,0.36645508
x,64537,-2.946340929,0.40811157
x,52443,-3.523285024,0.34384155
x,5701,-4.832962493,-5.7249146
x,42408,-4.956998285,0.4057312
x,60144,-6.68851902,0.4128723
x,49145,-6.240977911,0.42001343
x,63535,-3.234684824,0.31289673
x,65601,-1.850112718,0.35455322
x,53742,-1.676658022,0.31765747
x,3193,-3.420170306,-5.855835
x,64845,-4.534970402,0.3557434
x,10205,-1.80258537,-5.702301
x,49507,-1.442827898,0.37716675
x,10413,-3.082610652,-5.734436
x,51838,0.724405092,0.3985901
x,53610,-4.616792618,0.43191528
x,50059,-2.672510026,0.39620972
x,48293,-2.132750701,0.3557434
x,56589,-5.129665238,0.39978027
x,50431,-3.812409648,0.42001343
x,16499,-2.298659676,-6.092682
x,49064,-3.478113293,0.4628601
x,49070,-6.162716418,0.4390564
x,50514,-5.746243667,0.40216064
x,53935,-3.172773556,0.16888428
x,67138,-6.864902296,0.29385376
x,68876,-2.315266853,0.36288452
x,55652,-5.62291026,0.34622192
x,29378,-1.052472432,-6.1402893
x,44998,-5.212976845,0.4461975
x,60075,0.324504444,0.42358398
x,44224,-1.828898672,0.41882324
x,61877,-2.076161636,0.32598877
x,59625,-2.31244902,0.3973999
x,11134,21.51935151,-5.8415527
x,52482,-6.824377985,0.35455322
x,57227,-6.63367661,0.33432007
x,58722,-4.058902909,0.26171875
x,58190,-6.879362647,0.50094604
x,16139,-5.9244707,-6.312866
x,64412,5.221958236,0.3807373
x,61979,-7.902356728,0.58425903
x,62120,-6.902275217,0.3319397
x,26121,-10.09736311,-6.054596
x,6826,-2.105374212,-5.767761
x,34930,-8.639372943,-6.0522156
x,17514,-20.51657672,-6.2128906
x,46720,-1.843182993,0.28790283
x,28920,-17.09315419,-6.1093445
x,41446,-1.853451224,0.29266357
x,24571,-20.14895838,-6.0510254
x,20690,-23.74522716,-6.279541
x,58488,3.543053734,0.45928955
x,24406,-15.0130251,-6.130768
x,679,-21.41471861,-5.991516
x,49704,-9.064518797,0.4140625
x,47341,-2.803612286,0.3973999
x,46610,-7.778744219,0.37716675
x,62581,-2.835716833,0.38430786
x,30329,-4.314114693,-6.1474304
x,26332,-5.960177322,-6.2259827
x,13162,-9.075993346,-5.836792
x,49157,3.864730266,0.4961853
x,63222,-7.856130839,0.40930176
x,8647,-6.790737816,-5.8415527
x,23005,-12.45424372,-6.1164856
x,59604,-7.04552082,0.36883545
x,883,12.08033052,-5.8391724
x,48147,-4.437720568,0.43429565
x,44388,-3.922625057,0.4128723
x,41516,-4.677592331,0.14151001
x,65121,6.707488662,0.340271
x,15793,-28.15193965,-6.105774
x,50065,-6.285925676,0.43429565
x,43195,5.594125612,0.3557434
x,10861,-19.66118888,-5.792755
x,58566,15.68523822,0.37121582
x,2896,-10.63143058,-5.7510986
x,4632,-14.68732008,-5.7618103
x,37426,-10.43467106,-5.857025
x,33215,-19.25266889,-6.1283875
x,6381,-7.510562029,-5.861786
x,65859,-5.307972594,0.24624634
x,17552,-19.40361798,-6.1807556
x,46046,-16.15743795,0.36764526
x,65048,-11.0079877,0.37597656
x,49424,-6.32151342,0.4961853
x,516,-27.76451938,-5.95224
x,56760,4.239855976,0.34979248
x,43895,-4.23205505,0.31765747
x,42815,-4.629606451,0.3652649
x,18611,15.44087537,-6.1795654
x,26124,-20.02770809,-6.1033936
x,6090,-6.589274901,-5.870117
x,28927,-15.05314478,-6.133148
x,64551,-3.579162921,0.455719
x,50734,-22.44717019,0.46047974
x,22395,-7.32148732,-6.14386
x,58256,-9.820390346,0.54974365
x,7453,7.963322297,-5.805847
x,48804,-4.686329781,0.4295349
x,51034,14.40655566,0.4212036
x,66445,-7.003269603,0.26290894
x,41744,-18.2887039,0.35217285
x,20856,-4.267087284,-6.215271
x,23528,-8.106030626,-6.111725
x,25007,-7.927451714,-6.0629272
x,45866,-2.383845204,0.43667603
x,39170,22.63383419,-5.754669
x,2124,3.179314122,-5.8605957
x,13705,-9.108518307,-5.791565
x,41939,-4.977010672,0.3807373
x,36967,4.861097992,-6.162903
x,46800,-6.488677809,0.4152527
x,29228,9.005121449,-6.1212463
x,1988,-2.80094992,-5.7963257
x,65786,-4.093181121,0.26885986
x,13256,-14.65322565,-5.786804
x,36640,-10.17726017,-6.149811
x,35465,-23.74560379,-6.07959
x,31924,-8.84064077,-6.099823
x,39520,4.172410402,-6.0438843
x,68819,8.408739286,0.42358398
x,54220,22.40518275,0.38549805
x,30135,-8.400711445,-6.162903
x,15736,-25.46823175,-5.983185
x,11350,-37.34467298,-5.842743
x,15409,-18.60667948,-5.779663
x,55864,-3.308849088,0.40811157
x,59547,-16.48325744,0.44500732
x,19174,20.15510202,-6.1295776
x,5214,-13.91434595,-5.779663
x,19611,-4.513431698,-6.1105347
x,16104,-29.50432116,-6.4306946
x,43396,4.234436551,0.44024658
x,22336,1.180634383,-6.1236267
x,6477,-1.718075393,-5.855835
x,5521,13.24740526,-5.7772827
x,59849,-19.53741062,0.3224182
x,15955,-2.631129745,-6.214081
x,60031,-8.924894804,0.37002563
x,15439,30.27281985,-5.82251
x,41168,4.599337843,0.17007446
x,28231,-6.535537818,-6.117676
x,11255,-24.46601392,-5.8605957
x,37126,-6.594081763,-6.0914917
x,68008,16.20524352,0.47000122
x,38403,-19.84043833,-6.2640686
x,57150,8.184889272,0.35812378
x,61251,13.77874219,0.38549805
x,47858,-18.921141,0.3985901
x,56747,-25.77207418,0.32598877
x,41317,-0.436836993,0.3735962
x,44255,-3.848999979,0.487854
x,47563,-4.132193748,0.3474121
x,31132,-21.03264086,-6.171234
x,18200,19.24983668,-6.2438354
x,4214,-30.96118919,-5.8903503
x,5843,-35.72713577,-5.7951355
x,51920,-8.021295074,0.34384155
x,48934,13.1062668,0.44024658
x,23174,16.49986568,-6.1367188
x,54313,-4.401760035,0.31170654
x,17859,-8.196517434,-6.1688538
x,44200,-23.04357208,0.39144897
x,7852,-9.651631745,-5.792755
x,65678,-4.267698641,0.4378662
x,9529,-28.98561539,-5.868927
x,59166,-2.037781288,0.44024658
x,33381,-2.377670097,-6.0974426
x,19447,-4.258169516,-6.1224365
x,33366,-23.4127809,-6.093872
x,6305,-4.2450205,-5.7749023
x,29056,-5.171054769,-6.1605225
x,18746,4.665350232,-6.1855164
x,40786,-21.27356996,-5.241699
x,32592,26.21518957,-6.1807556
x,45604,-16.14040542,0.44976807
x,42964,3.085712856,0.34979248
x,53073,-4.925005512,0.38787842
x,2024,-6.824101564,-5.8391724
x,8895,-14.18462191,-5.8843994
x,61333,9.248278488,0.34146118
x,45001,10.41135238,0.46762085
x,52162,-4.024031364,0.40216064
x,6549,-14.37626083,-5.851074
x,57023,-1.79347532,0.2902832
x,19170,-24.73352547,-6.20932
x,29329,-14.81426587,-6.0510254
x,5250,-6.981409107,-5.7558594
x,54254,19.40004892,0.38668823
x,34069,-25.35159837,-6.2128906
x,1178,-12.13906196,-5.804657
x,22444,-12.3177783,-6.2128906
x,5705,-20.74128567,-5.8129883
x,37381,-25.43929414,-6.01532
x,56504,-2.583657514,0.35812378
x,51887,-8.461995392,0.33789063
x,44739,14.75852045,0.4390564
x,67650,-11.8644261,0.30099487
x,12202,-7.861817369,-5.7891846
x,27962,-5.687385478,-6.183136
x,24827,-5.794915147,-6.054596
x,43409,-7.098609634,0.49023438
x,6541,-22.32763487,-5.8272705
x,66673,-10.68029522,0.33551025
x,36510,-13.36174902,-6.139099
x,54303,-8.543437473,0.43548584
x,2470,-6.99090077,-5.8903503
x,9904,-7.996860436,-5.9117737
x,40043,7.389463254,-6.195038
x,61917,15.25742081,0.4212036
x,66082,10.56735027,0.31884766
x,23511,-6.333922477,-6.0760193
x,24071,15.2995134,-6.1402893
x,56277,-3.748824628,0.3735962
x,67958,20.38581524,0.5033264
x,44624,-2.6655808,0.32479858
x,31988,-6.988998028,-6.0950623
x,11047,-11.58814551,-5.893921
x,31822,-19.0735082,-6.1224365
x,64078,-21.56905411,0.34979248
x,18450,-10.09640344,-6.1664734
x,64645,23.58396333,0.5140381
x,20610,14.2220831,-6.139099
x,67729,20.02623378,0.45333862
x,15525,-7.39376247,-5.8237
x,36160,-6.203186035,-6.0700684
x,5416,-9.478753747,-5.8475037
x,20129,4.849692942,-6.2045593
x,47363,4.392856815,0.3069458
x,7562,8.509401589,-5.733246
x,11315,-8.637207314,-5.829651
x,22416,-7.130191996,-6.14386
x,43089,-8.062169344,0.38549805
x,37132,-4.638026589,-6.0903015
x,57092,-17.64746554,0.3319397
x,53331,28.68004888,0.32836914
x,9338,-17.25181694,-5.8724976
x,20560,-3.513304757,-6.2569275
x,33592,-5.298316101,-6.14386
x,11131,-7.724444921,-5.7772827
x,59164,-17.6809478,0.4223938
x,43287,10.19050003,0.2986145
x,7544,-20.16496305,-5.8022766
x,51992,-3.15777707,0.30575562
x,43920,-7.60060713,0.31765747
x,20057,-7.606645996,-6.2640686
x,49727,-0.176928648,0.44143677
x,26642,-22.08106946,-6.0057983
x,40765,9.756755734,-5.4928284
x,67173,-27.42160919,0.38311768
x,34767,-7.492742399,-6.152191
x,22300,-10.80292902,-6.1343384
x,27267,-19.29379725,-6.151001
x,67122,2.039887017,0.49261475
x,28694,-5.293701174,-6.1152954
y,14056,-1.060305636,0.048934937
y,16581,-1.354919114,0.05845642
y,12493,-0.02640476,0.18937683
y,34761,-0.568887257,0.29768372
y,2490,-0.194865889,0.27149963
y,37885,1.120861673,0.2667389
y,1801,-0.135328705,0.32981873
y,63004,1.057599258,-0.5140228
y,11576,-0.696654318,0.12986755
y,40232,-0.54613267,0.14057922
y,69029,-0.860642501,-0.5568695
y,41084,0.016479611,-0.41880798
y,6099,-1.110683991,0.2655487
y,1345,-0.421349525,0.2500763
y,20724,-1.013924855,0.17033386
y,58984,0.11972535,-0.4925995
y,30283,0.395544387,0.30958557
y,62924,0.560954001,-0.52116394
y,20880,-1.250579298,0.2334137
y,5787,-1.364297952,0.27388
y,9234,0.175815116,0.26435852
y,3580,-0.053142766,0.3143463
y,45256,0.435659963,-0.5259247
y,11148,0.626083591,0.14772034
y,36686,-1.453037711,0.3655243
