Attribute,Index,Dirty Value,Clean Value
x,3,-2.60341773,-5.818939
x,136,-5.070678479,-5.908203
x,275,-2.102280838,-6.01532
x,358,-4.732921244,-5.959381
x,440,-6.228360568,-5.874878
x,484,-5.235259916,-5.9617615
x,493,-1.72655443,-5.908203
x,523,-4.225339142,-5.918915
x,659,-2.240259235,-5.9355774
x,664,-1.072339785,-5.9796143
x,768,-2.640019723,-5.926056
x,989,-2.967126003,-5.82489
x,1103,-1.916044871,-5.8522644
x,1163,-4.022208489,-5.767761
x,1235,-5.250919141,-5.854645
x,1273,-5.874259336,-5.792755
x,1289,-3.411941377,-5.8022766
x,1295,-5.681230613,-5.8022766
x,1310,-6.49199021,-5.8094177
x,1372,-3.508196256,-5.7879944
x,1379,-3.447016556,-5.7808533
x,1485,-3.739507787,-5.7891846
x,1496,-3.122806314,-5.899872
x,1536,-1.262165214,-5.848694
x,1575,-5.335240429,-5.8641663
x,1892,-3.099153375,-5.786804
x,1934,-5.943172271,-5.857025
x,1987,-6.140757543,-5.8082275
x,2058,-7.068126491,-5.830841
x,2121,-6.538444194,-5.851074
x,2138,-1.015116457,-5.8403625
x,2145,-5.124604538,-5.857025
x,2156,-5.343850729,-5.8582153
x,2162,-5.814350203,-5.8653564
x,2173,-3.83043727,-5.82489
x,2263,-5.769734261,-5.8463135
x,2264,-3.329131026,-5.816559
x,2470,-6.99090077,-5.8903503
x,2472,-4.978678537,-5.8784485
x,2629,-4.836731783,-5.8713074
x,2744,-5.551105904,-5.8641663
x,2845,-6.518813722,-5.8201294
x,2889,-5.952479906,-5.8713074
x,2894,-6.518852267,-5.772522
x,2899,-2.705591662,-5.837982
x,2906,-2.758737298,-5.8070374
x,2948,-5.732130743,-5.8796387
x,2978,-5.788194338,-5.8605957
x,2985,-5.220365913,-5.816559
x,3076,-3.479969979,-5.75943
x,3182,-2.233824574,-5.82251
x,3218,-0.610636183,-5.7641907
x,3260,-1.027066257,-5.7879944
x,3273,-2.829827092,-5.842743
x,3278,-6.601240483,-5.7832336
x,3285,-5.508984422,-5.8344116
x,3348,-2.793225136,-5.883209
x,3573,-4.534004369,-5.8022766
x,3637,-0.8131542,-5.8451233
x,3706,-2.933981502,-5.874878
x,3729,-3.104431019,-5.8855896
x,3854,-1.392873796,-5.7939453
x,3870,-1.308503993,-5.8391724
x,3959,-1.628707368,-5.8237
x,4002,-0.950070568,-5.8391724
x,4112,-3.20191949,-5.8534546
x,4136,-3.908902821,-5.851074
x,4161,-3.488808704,-5.754669
x,4186,-5.513975246,-5.767761
x,4203,-3.320955945,-5.803467
x,4230,-4.721362858,-5.8736877
x,4294,-6.547812498,-5.829651
x,4305,-1.560073152,-5.8534546
x,4370,-2.751475351,-5.7451477
x,4377,-5.518948908,-5.7903748
x,4397,-3.866948795,-5.7963257
x,4500,-3.521395794,-5.7772827
x,4507,-2.292206692,-5.752289
x,4519,-6.500512774,-5.804657
x,4570,-6.915254693,-5.8284607
x,4589,-1.274373942,-5.7808533
x,4660,-2.921895252,-5.8403625
x,4762,-5.698803896,-5.8082275
x,4789,-3.19681509,-5.817749
x,4801,-7.160894312,-5.8653564
x,4833,-1.14911244,-5.8213196
x,4837,-5.805430309,-5.9177246
x,4937,-6.996451788,-5.803467
x,4964,-3.988771247,-5.797516
x,4966,-0.635675194,-5.7808533
x,5071,-6.447067835,-5.8284607
x,5131,-1.00526838,-5.798706
x,5147,-6.929650115,-5.7903748
x,5237,-4.470441108,-5.7951355
x,5250,-6.981409107,-5.7558594
x,5281,-6.647133618,-5.818939
x,5321,-3.078469002,-5.7891846
x,5341,-3.723515103,-5.842743
x,5366,-6.42821126,-5.7760925
x,5465,-6.254347914,-5.8070374
x,5510,-6.588286744,-5.803467
x,5583,-2.037680721,-5.7558594
x,5637,-6.258813285,-5.803467
x,5647,-6.734518343,-5.811798
x,5717,-1.725640473,-5.7832336
x,5797,-1.484875164,-5.702301
x,5807,-4.874144047,-5.7749023
x,5822,-5.010510858,-5.7951355
x,5829,-3.900187801,-5.784424
x,5870,-2.701195904,-5.837982
x,5878,-2.876866863,-5.7939453
x,5986,-6.508265829,-5.88797
x,6000,-0.265580613,-5.862976
x,6097,-2.496482632,-5.9046326
x,6198,-1.067024858,-5.8415527
x,6219,-1.159043407,-5.837982
x,6263,-6.240240299,-5.8201294
x,6268,-2.764799418,-5.771332
x,6297,-1.885548267,-5.785614
x,6305,-4.2450205,-5.7749023
x,6366,-4.485958842,-5.842743
x,6393,-2.730764719,-5.8332214
x,6454,-4.360596311,-5.836792
x,6457,-2.449687618,-5.835602
x,6548,-5.554151443,-5.867737
x,6726,-2.019177716,-5.8094177
x,6788,-1.751029477,-5.7820435
x,6793,-3.88487092,-5.7760925
x,6826,-2.105374212,-5.767761
x,6933,-4.09422694,-5.7296753
x,7049,-2.725253558,-5.734436
x,7050,-6.68749306,-5.791565
x,7101,-4.191780782,-5.7951355
x,7127,-3.789936086,-5.8522644
x,7175,-6.485737441,-5.772522
x,7179,-2.055832465,-5.7499084
x,7192,-3.714406655,-5.7689514
x,7299,-3.879376877,-5.805847
x,7360,-4.820004912,-5.752289
x,7405,-3.641287319,-5.8344116
x,7435,-6.027237145,-5.8284607
x,7451,-2.650906965,-5.786804
x,7456,-2.613668161,-5.7106323
x,7457,-5.949288419,-5.786804
x,7560,-4.854544119,-5.754669
x,7572,-3.417101693,-5.786804
x,7581,-4.335051131,-5.7808533
x,7603,-0.822704265,-5.7451477
x,7623,-0.641924623,-5.7510986
x,7881,-3.202448271,-5.8843994
x,7958,-3.043895306,-5.791565
x,7967,-4.247046518,-5.848694
x,7972,-2.659603833,-5.8903503
x,8023,-4.646123377,-5.779663
x,8083,-1.481386651,-5.8463135
x,8110,-2.462935532,-5.8272705
x,8137,-6.686412361,-5.921295
x,8179,-4.813330463,-5.849884
x,8191,-6.027251524,-5.8796387
x,8262,-5.254925247,-5.848694
x,8264,-1.757437953,-5.893921
x,8322,-4.46361126,-5.8582153
x,8369,-1.05491971,-5.835602
x,8396,-3.947307599,-5.8415527
x,8459,-2.813965923,-5.8963013
x,8514,-5.028660194,-5.870117
x,8608,-3.171306098,-5.8772583
x,8647,-6.790737816,-5.8415527
x,8743,-5.624094811,-5.8320313
x,8803,-2.550535113,-5.836792
x,8843,-6.271597511,-5.868927
x,9071,-4.649780372,-5.8724976
x,9073,-4.107566333,-5.818939
x,9165,-6.282635731,-5.862976
x,9267,-4.987812251,-5.818939
x,9403,-5.050635919,-5.854645
x,9404,-1.310622225,-5.8986816
x,9446,-3.324685539,-5.857025
x,9534,-6.131804051,-5.8724976
x,9571,-1.969261306,-5.8451233
x,9585,-2.201159787,-5.8153687
x,9599,-6.064373808,-5.843933
x,9676,-1.444007409,-5.9355774
x,9694,-4.94451768,-5.862976
x,9708,-6.997775201,-5.842743
x,9711,-4.49274499,-5.88916
x,9823,-1.664508027,-5.902252
x,9865,-6.072614643,-5.932007
x,9931,-6.447249818,-5.8653564
x,9997,-2.600425801,-5.8391724
x,10118,-4.956814293,-5.746338
x,10164,-2.864701697,-5.7261047
x,10205,-1.80258537,-5.702301
x,10229,-5.258234606,-5.843933
x,10282,-3.228945649,-5.8213196
x,10292,-6.885799536,-5.816559
x,10315,-5.757556269,-5.754669
x,10316,-6.808548071,-5.7998962
x,10329,-3.396936008,-5.829651
x,10375,-5.169272339,-5.818939
x,10497,-5.657415108,-5.6677856
x,10539,-1.697222675,-5.7130127
x,10684,-4.753838134,-5.8010864
x,10746,-3.72596084,-5.8403625
x,10794,-3.345739435,-5.8582153
x,10803,-5.439106993,-5.8320313
x,10884,-3.330542804,-5.8843994
x,10911,-5.339274669,-5.874878
x,10915,-1.876646723,-5.804657
x,10987,-6.645276056,-5.857025
x,11019,-5.341861202,-5.8153687
x,11077,-4.49749107,-5.867737
x,11099,-3.169938814,-5.8153687
x,11137,-3.020640798,-5.8594055
x,11177,-1.056768753,-5.8475037
x,11204,-4.349976499,-5.867737
x,11240,-2.619887071,-5.915344
x,11299,-5.885990768,-5.857025
x,11385,-6.359977162,-5.7963257
x,11409,-2.8205268,-5.8784485
x,11428,-1.908672223,-5.876068
x,11488,-2.937448258,-5.8391724
x,11511,-6.123672339,-5.854645
x,11571,-2.592843814,-5.851074
x,11674,-1.236694227,-5.82489
x,11694,-5.074492369,-5.754669
x,11718,-4.26118476,-5.843933
x,11726,-2.810815288,-5.8475037
x,11759,-4.52595738,-5.8344116
x,11787,-1.024405196,-5.818939
x,11805,-5.802151476,-5.7963257
x,11945,-1.846880984,-5.8082275
x,12101,-6.824128709,-5.82251
x,12152,-3.614114282,-5.811798
x,12214,-4.940941688,-5.817749
x,12239,-0.112480858,-5.810608
x,12296,-4.26970466,-5.876068
x,12342,-0.594122451,-5.817749
x,12484,-0.997610733,-5.8332214
x,12489,-3.234802191,-5.835602
x,12513,-4.03675403,-5.837982
x,12520,-6.877628761,-5.8141785
x,12554,-1.753067182,-5.849884
x,12629,-5.816084486,-5.88678
x,12767,-6.112997951,-5.836792
x,12858,-1.329034433,-5.7832336
x,12873,-5.366562556,-5.773712
x,12883,-4.942261921,-5.810608
x,12890,-2.52405662,-5.804657
x,12896,-1.04874659,-5.82489
x,13030,-6.690394088,-5.791565
x,13181,-1.432398368,-5.8201294
x,13202,-2.063091365,-5.8010864
x,13209,-2.918709433,-5.803467
x,13263,-2.18135873,-5.7820435
x,13298,-4.849783193,-5.848694
x,13357,-1.981943068,-5.8641663
x,13419,-6.425285282,-5.7760925
x,13509,-4.193832518,-5.746338
x,13582,-0.962358197,-5.771332
x,13606,-5.506036263,-5.8010864
x,13644,-5.15397113,-5.7701416
x,13656,-6.869766599,-5.7903748
x,13788,-3.34044551,-5.8332214
x,13913,-4.281846375,-5.7808533
x,13914,-0.527398094,-5.7582397
x,13957,-5.43972378,-5.8332214
x,14216,-5.057452534,-5.805847
x,14259,-3.679360583,-5.727295
x,14320,-6.734937049,-5.7427673
x,14354,-4.737315909,-5.803467
x,14474,-6.425757271,-5.7130127
x,14527,-1.961748698,-5.811798
x,14651,-2.202785775,-5.8320313
x,14755,-1.661930087,-5.765381
x,14876,-5.19403935,-5.76062
x,14896,-2.988752079,-5.7177734
x,14902,-1.826575168,-5.6677856
x,14917,-5.946314218,-5.753479
x,14998,-7.006981072,-5.714203
x,15017,-3.723954124,-5.714203
x,15029,-1.794107499,-5.727295
x,15138,-1.903694927,-5.690399
x,15218,-7.128856589,-5.572571
x,15293,-2.531025828,-5.4809265
x,15310,-5.874127116,-5.4547424
x,15340,-3.586180493,-5.5594788
x,15367,-2.96457526,-5.6094666
x,15402,-4.878809608,-5.7903748
x,15414,-4.548718277,-5.7618103
x,15433,-5.44605408,-5.803467
x,15826,-2.840785072,-6.3473816
x,15841,-2.591367764,-5.9998474
x,15867,-4.714224732,-6.114105
x,15876,-1.922581015,-6.101013
x,15907,-5.653137374,-5.9819946
x,15927,-5.087220462,-6.0319824
x,15955,-2.631129745,-6.214081
x,16020,-2.835157083,-6.3271484
x,16065,-2.878136183,-6.573517
x,16139,-5.9244707,-6.312866
x,16513,-4.846222822,-6.029602
x,16628,-4.544381265,-6.131958
x,16665,-4.60230844,-6.184326
x,16673,-6.276616341,-6.2045593
x,16689,-3.701777232,-6.1997986
x,16693,-6.001681942,-6.2700195
x,16817,-3.915338819,-6.164093
x,16949,-5.630020664,-6.1474304
x,17005,-2.940231948,-6.034363
x,17009,-0.15697428,-6.1748047
x,17027,-1.770962958,-6.2747803
x,17067,-6.315896774,-6.0950623
x,17079,-6.357454786,-6.0760193
x,17118,-4.182835777,-6.1343384
x,17149,-2.389110684,-6.196228
x,17187,-3.026714192,-6.101013
x,17191,-6.311403074,-6.14624
x,17205,-6.884622435,-6.246216
x,17255,-6.954896263,-6.1855164
x,17345,-5.028713808,-6.203369
x,17446,-6.190878301,-6.2069397
x,17455,-0.787770697,-6.2069397
x,17470,-4.91055179,-6.203369
x,17616,-4.650780915,-6.1688538
x,17623,-4.206820183,-6.228363
x,17633,-6.905139747,-6.234314
x,17680,-7.122842964,-6.181946
x,17700,-6.028144916,-6.197418
x,17738,-3.634573892,-6.1271973
x,17939,-2.504284966,-6.195038
x,17953,-4.268363866,-6.195038
x,18036,-3.566340618,-6.216461
x,18094,-3.226023866,-6.1271973
x,18186,-3.734083846,-6.2700195
x,18228,-6.910037081,-6.1878967
x,18246,-3.212008347,-6.221222
x,18272,-0.490200486,-6.118866
x,18281,-4.674096929,-6.14505
x,18352,-3.991231042,-6.2521667
x,18383,-1.026570124,-6.101013
x,18408,-6.911820081,-6.1748047
x,18584,-6.629059873,-6.2378845
x,18642,-0.946621945,-6.177185
x,18657,-1.573464238,-6.133148
x,18662,-5.789295122,-6.170044
x,18701,-3.861308634,-6.1748047
x,18703,-1.813704837,-6.2509766
x,18713,-3.559478341,-6.235504
x,18737,-2.157605859,-6.200989
x,18760,-0.752705255,-6.2497864
x,18797,-3.431287982,-6.3081055
x,18913,-6.144518552,-6.183136
x,19027,-5.468021009,-6.0974426
x,19122,-5.829328508,-6.1676636
x,19139,-6.573020883,-6.1295776
x,19159,-2.175758854,-6.112915
x,19302,-3.293778209,-6.266449
x,19311,-3.641501787,-6.092682
x,19369,-4.473039481,-6.235504
x,19408,-4.521751032,-6.1807556
x,19520,-0.663809868,-6.0914917
x,19611,-4.513431698,-6.1105347
x,19633,-5.703416289,-6.1367188
x,19708,-4.129476173,-6.047455
x,19739,-6.153649462,-6.137909
x,19757,-0.903459265,-6.1605225
x,19763,-6.522224823,-6.035553
x,19824,-4.251059248,-6.190277
x,19859,-3.690755928,-6.0248413
x,19876,-5.054900719,-6.061737
x,19987,-1.075816316,-6.2069397
x,27630,-1.1052135,-6.2128906
x,34492,-3.5388659,-6.0438843
x,34867,-6.6708974,-6.1867065
x,43064,-2.3309982,0.32598877
x,44322,-5.5815233,0.43667603
x,54563,-5.5719032,0.36764526
x,64918,0.49349935,0.32479858
x,67604,0.54779496,0.3890686
y,19,-1.103370649,0.37147522
y,25,-0.659604217,0.4393158
y,37,-0.275418914,0.2750702
y,136,-0.446412078,0.3238678
y,148,-1.251209178,0.38337708
y,166,-0.511065064,0.21318054
y,188,-1.118025305,0.33576965
y,251,-0.338112658,0.37980652
y,252,-0.268146804,0.35124207
y,276,-0.171558916,0.28697205
y,279,-0.086345123,0.27864075
y,284,-1.016284401,0.3488617
y,312,-0.38124116,0.3143463
y,387,-1.660803211,0.27268982
y,597,-0.457811563,0.31196594
y,770,-1.21781088,0.25602722
y,817,-0.747383699,0.19770813
y,835,-0.534020604,0.25602722
y,848,-0.844736624,0.2905426
y,977,-0.273333044,0.32148743
y,1016,-1.025206629,0.26911926
y,1020,-1.092034611,0.26078796
