Attribute,Index,Dirty Value,Cleaned Value,Clean Value
x,49597,0.42834473,0.4283447299999996,0.42834473
x,35300,empty,-7.1662292,-6.105774
x,58243,0.30337524,0.3033752399999998,0.30337524
x,45991,0.4295349,0.4295348999999997,0.4295349
x,43552,0.36645508,0.3664550800000001,0.36645508
x,48290,0.37954712,0.3795471199999993,0.37954712
x,48200,0.37954712,0.3795471199999993,0.37954712
x,23855,empty,-5.10676290071866,-6.14505
x,47761,0.39263916,0.3926391599999999,0.39263916
x,56970,0.37597656,0.3759765599999998,0.37597656
x,69767,0.372406,0.3724060000000002,0.372406
x,69022,0.240380851,0.2403808510000002,0.27719116
x,44746,0.4128723,0.4128723000000001,0.4128723
x,62749,0.6175842,0.6175841999999996,0.6175842
x,49023,0.39263916,0.3926391599999999,0.39263916
x,43956,0.46524048,0.4652404799999998,0.46524048
x,28170,-6.189087,-6.189087000000001,-6.189087
x,61348,0.39144897,0.3914489699999999,0.39144897
x,42119,0.3640747,0.3640746999999993,0.3640747
x,6740,empty,-5.81362885434508,-5.7998962
x,16581,empty,-7.130851793589617,-6.151001
x,5558,-15.3593572,-15.359357200000002,-5.816559
x,59248,0.46166992,0.4616699200000003,0.46166992
x,62277,0.37835693,0.3783569300000002,0.37835693
x,52556,0.36050415,0.3605041500000001,0.36050415
x,38147,1.292970548,1.2929705480000004,-6.117676
x,43631,0.31765747,0.3176574699999999,0.31765747
x,43331,0.52474976,0.5247497599999997,0.52474976
x,37168,-6.189087,-6.189087000000001,-6.189087
x,43862,0.372406,0.3724060000000002,0.372406
x,59989,0.39501953,0.3950195299999999,0.39501953
x,2251,empty,-7.1662292,-5.8534546
x,42701,0.36050415,0.3605041500000001,0.36050415
x,42484,0.38787842,0.3878784199999998,0.38787842
x,66529,0.32598877,0.3259887699999999,0.32598877
x,60026,0.31765747,0.3176574699999999,0.31765747
x,43617,0.3735962,0.3735962000000001,0.3735962
x,49703,0.39382935,0.3938293500000003,0.39382935
x,19487,empty,-6.14313892091484,-6.1593323
x,40995,3.340300751,3.340300751000001,0.30099487
x,60151,0.4069214,0.4069213999999999,0.4069214
x,49239,0.30218506,0.3021850600000002,0.30218506
