Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: X0, MSE: nan, Jaccard: 0.9981002871658935
Attribute: X1, MSE: nan, Jaccard: 0.9993993512994034
Attribute: X2, MSE: nan, Jaccard: 0.9998758926184749
Attribute: X3, MSE: nan, Jaccard: 0.9908474142345111
Attribute: X4, MSE: nan, Jaccard: 0.7502970297029703
Attribute: X5, MSE: nan, Jaccard: 0.9999847570270105
Attribute: X6, MSE: nan, Jaccard: 0.9901183020180933
Attribute: X8, MSE: nan, Jaccard: 0.9987478260869566
Attribute: X10, MSE: 0.005777416075422447, Jaccard: 0.9715893255295429
Attribute: X11, MSE: 0.0, Jaccard: 0.0
Attribute: X12, MSE: 0.03128170632450959, Jaccard: 0.9818804067348708
Attribute: X13, MSE: 0.02705558268098165, Jaccard: 0.9829684412950133
Attribute: X14, MSE: 0.1632403958046681, Jaccard: 0.9863608783175652
Attribute: X15, MSE: 0.00029620007590487265, Jaccard: 0.9822649803624833
Attribute: X16, MSE: 0.0017399992441248363, Jaccard: 0.9819009811149549
Attribute: X17, MSE: 0.006286032137460388, Jaccard: 0.9848314316141792
Attribute: X18, MSE: 0.005441474761064438, Jaccard: 0.9839045259626567
Attribute: X19, MSE: 0.06821779732676987, Jaccard: 0.9861921894174248
Attribute: X20, MSE: 0.07754265259441191, Jaccard: 0.9861491932061122
Attribute: X21, MSE: 0.002597656845764316, Jaccard: 0.9857409008082979
Attribute: X22, MSE: 0.0643765256047297, Jaccard: 0.9870487420553574
Attribute: X23, MSE: 0.016133415046723883, Jaccard: 0.9875722350816268
Attribute: X24, MSE: 0.001820194658351049, Jaccard: 0.9870082868076364
Attribute: X26, MSE: 0.004093322612284445, Jaccard: 0.9871301814329227
Attribute: X27, MSE: 0.1973418822565003, Jaccard: 0.988340015861187
Attribute: X28, MSE: 0.025101611650986635, Jaccard: 0.9882861888211906
Attribute: X29, MSE: 0.03524414854073005, Jaccard: 0.9883147178928366
Attribute: X30, MSE: 0.004353924456408672, Jaccard: 0.9887170692797291
Attribute: X31, MSE: 0.17752689168669436, Jaccard: 0.9887174003529732
Attribute: X32, MSE: 0.011227920222195936, Jaccard: 0.9879310897050934
Attribute: X33, MSE: 0.00023232334813670836, Jaccard: 0.9941176470588236
Attribute: X34, MSE: 0.005728162621772588, Jaccard: 0.9881426398677796
Attribute: X35, MSE: 0.18763838406246366, Jaccard: 0.9903069390829489
Attribute: X36, MSE: 0.004588784991341618, Jaccard: 0.9891278923314981
Attribute: X37, MSE: 0.16144204598421857, Jaccard: 0.98884865012935
Attribute: X38, MSE: 0.038972661533166544, Jaccard: 0.9890676187322994
Attribute: X39, MSE: 0.0002635763525042082, Jaccard: 0.9892982919528086
Attribute: X40, MSE: 0.0007726593840633076, Jaccard: 0.9882255662366298
Attribute: X41, MSE: 0.011209928167806478, Jaccard: 0.9898318578990848
Attribute: X42, MSE: 0.00029076813728031017, Jaccard: 0.9894202469479807
Attribute: X43, MSE: 0.06553351656455347, Jaccard: 0.9888102776162477
Attribute: X44, MSE: 0.011474711364360155, Jaccard: 0.989973683069351
Attribute: X45, MSE: 0.23521002714851896, Jaccard: 0.9907753615037576
Attribute: X46, MSE: 0.29266500277916363, Jaccard: 0.9923508517524852
Attribute: X47, MSE: 0.01801286045795102, Jaccard: 0.995359214636323
Attribute: X48, MSE: 0.026915826532553585, Jaccard: 0.9910057638623903
Attribute: X49, MSE: 0.10775461512067311, Jaccard: 0.9905971790728486
Attribute: X50, MSE: 0.18546472894772706, Jaccard: 0.9954000196504015
Attribute: X51, MSE: 0.34055664201044983, Jaccard: 0.9920786458364027
Attribute: X52, MSE: 0.056316110590814865, Jaccard: 0.9913151082805373
Attribute: X53, MSE: 0.00780720333981903, Jaccard: 0.9898466849814609
Attribute: X54, MSE: 0.05149734733159661, Jaccard: 0.9916177669654063
Attribute: X55, MSE: 0.006944542984112902, Jaccard: 0.9921330816388272
Attribute: X56, MSE: 0.02997703516223848, Jaccard: 0.9920979164107635
Attribute: X57, MSE: 0.018995299144504235, Jaccard: 0.9920395857794885
Attribute: X58, MSE: 0.32032574862098634, Jaccard: 0.9925250781172174
Attribute: X59, MSE: 0.0010499852733565388, Jaccard: 0.9959644021499692
Attribute: X60, MSE: 0.0017790780872997194, Jaccard: 0.9909611481045938
Attribute: X61, MSE: 0.050245762702922615, Jaccard: 0.9920789130446594
Attribute: X62, MSE: 0.007982848550059221, Jaccard: 0.9921108967412849
Attribute: X63, MSE: 0.013669053313576091, Jaccard: 0.9921774389342791
Attribute: X64, MSE: 0.38212177255464863, Jaccard: 0.9929663444852472
Attribute: X65, MSE: 0.002407129491205096, Jaccard: 0.9966367713004485
Attribute: X66, MSE: 0.04308123880132171, Jaccard: 0.9962547386433193
Attribute: X67, MSE: 0.0027853128887117317, Jaccard: 0.9967078189300411
Attribute: X68, MSE: 0.09492173263057992, Jaccard: 0.9913739727569515
Attribute: X69, MSE: 0.04875478173960335, Jaccard: 0.9931386899624437
Attribute: X70, MSE: 0.0975609101566115, Jaccard: 0.9917735142433027
Attribute: X71, MSE: 0.1492645171741327, Jaccard: 0.9929675645764786
Attribute: X73, MSE: 0.02552541402207912, Jaccard: 0.9921099560642497
Attribute: X74, MSE: 0.0010210313722381816, Jaccard: 0.9922630498599873
Attribute: X75, MSE: 0.048005586444903284, Jaccard: 0.9926669020406128
Attribute: X76, MSE: 0.07856598284272485, Jaccard: 0.9966314262023217
Attribute: X77, MSE: 0.018524421854446225, Jaccard: 0.9925639129989503
Attribute: X78, MSE: 0.010326442141978715, Jaccard: 0.9930068087438605
Attribute: X79, MSE: 0.03533692894875564, Jaccard: 0.9962792345854005
Attribute: X80, MSE: 0.08741404709571651, Jaccard: 0.9928358756385512
Attribute: X81, MSE: 0.2771998321915503, Jaccard: 0.993475723039166
Attribute: X82, MSE: 0.02768639758301698, Jaccard: 0.993576347657163
Attribute: X83, MSE: 0.0019186192506815353, Jaccard: 0.9928624824327961
Attribute: X84, MSE: 0.1563115666301399, Jaccard: 0.9967955218431834
Attribute: X85, MSE: 0.4000998222127116, Jaccard: 0.9969681066210268
Attribute: X86, MSE: 0.002323831202387996, Jaccard: 0.9967121668838567
Attribute: X87, MSE: 0.0019848146692209296, Jaccard: 0.9950063730228659
Attribute: X88, MSE: 0.01090579209615153, Jaccard: 0.9932459360692233
Attribute: X89, MSE: 0.0011054253512030785, Jaccard: 0.9931072092949247
Attribute: X90, MSE: 0.012392918741772984, Jaccard: 0.9936172937144578
Attribute: X91, MSE: 0.0025987878254726793, Jaccard: 0.9935017940765067
Attribute: X92, MSE: 0.0018206362883250826, Jaccard: 0.997091048854584
Attribute: X93, MSE: 0.0, Jaccard: 0.0
Attribute: X94, MSE: 0.012479442003486817, Jaccard: 0.9935977507350889
Attribute: X95, MSE: 0.00033936620433041355, Jaccard: 0.9930817993417043
Attribute: X96, MSE: 0.38685829554785434, Jaccard: 0.9932824117144861
Attribute: X97, MSE: 0.007522019046534757, Jaccard: 0.993105761022943
Attribute: X98, MSE: 0.09046226588603937, Jaccard: 0.9936525058733741
Attribute: X99, MSE: 0.014010657738329938, Jaccard: 0.9943921568627451
Attribute: X100, MSE: 0.38657045374994653, Jaccard: 0.9942649724752924
Attribute: X101, MSE: 0.10222250510051321, Jaccard: 0.9945399849109522
Attribute: X102, MSE: 0.010432445181392844, Jaccard: 0.9942354576642503
Attribute: X103, MSE: 0.28086706159943536, Jaccard: 0.993935570343253
Attribute: X104, MSE: 0.003480036734201657, Jaccard: 0.9966216216216216
Attribute: X105, MSE: 0.004151544841560344, Jaccard: 0.9939023316828047
Attribute: X106, MSE: 0.02425762583238528, Jaccard: 0.9937849178241492
Attribute: X107, MSE: 0.0, Jaccard: 0.0
Attribute: X108, MSE: 0.027028588520495292, Jaccard: 0.9942602458605453
Attribute: X109, MSE: 0.08020284651039915, Jaccard: 0.9971218446174976
Attribute: X110, MSE: 0.0014592339762904848, Jaccard: 0.9930380524090502
Attribute: X111, MSE: 0.05392570307137714, Jaccard: 0.9971807743455696
Attribute: X112, MSE: 0.005170644545016385, Jaccard: 0.9966666666666667
Attribute: X113, MSE: 0.04916602601812028, Jaccard: 0.9946887741512488
Attribute: X114, MSE: 0.2164744854494576, Jaccard: 0.994111351773559
