Attribute,Index,Dirty Value,Clean Value
frequency,86,11,1000
frequency,1147,1100000000,10000
frequency,132,0,800
frequency,1355,8800,800
frequency,978,0,6300
frequency,1234,11225500,1250
frequency,160,0,500
frequency,727,11000000,1000
frequency,1347,110000,1000
frequency,649,0,400
frequency,493,11550000,3150
frequency,841,44000000,4000
frequency,1268,22550000,12500
angle,813,88,8.4
angle,939,1199,19.7
angle,1330,33,3.3
angle,913,11,15.4
angle,685,99,9.9
angle,404,33,7.3
angle,187,0,4
angle,836,44,8.4
angle,318,0,4
angle,344,44,4
chord_length,984,225544,0.0254
chord_length,625,11552244,0.1524
chord_length,1227,2244,0.0254
chord_length,8,3300,0.3048
chord_length,441,2266,0.2286
chord_length,1322,11001166,0.1016
chord_length,928,5500,0.0508
chord_length,682,0,0.1524
velocity,56,3311,31.7
velocity,604,77,71.3
velocity,303,11,71.3
velocity,610,1133,71.3
velocity,1445,33,39.6
velocity,1042,9966,39.6
velocity,191,11,71.3
velocity,1260,5555,55.5
velocity,161,77,71.3
velocity,510,33,31.7
velocity,1144,3399,39.6
velocity,151,331177,31.7
velocity,780,33,71.3
velocity,253,77,71.3
velocity,861,66,39.6
thickness,1478,5599,0.0437259
thickness,308,33,0.00400603
thickness,339,0,0.00473801
thickness,1078,3388,0.0043284
thickness,972,22,0.000400682
thickness,1159,44,0.016104
thickness,1154,1111,0.016104
thickness,99,44225577,0.00425727
