index,frequency,angle,chord_length,velocity,thickness,sound_pressure_level
1,800,0,0.3048,33,0.00266337,126.201
2,1000,0,0.3048,71.3,0.00266337,125.201
3,1250,0,0.3048,71.3,0.00266337,125.951
4,1600,0,0.3048,71.3,0.00266337,127.591
5,2000,0,0.3048,71.3,0.00266337,127.461
6,2500,0,..0088,71.3,0.00266337,125.571
7,3150,0,0.3048,71.3,0.00266337,125.201
8,4000,0,3300,71.3,0.00266337,123.061
9,5000,0,0.3048,71.3,0.00266337,121.301
10,6300,0,0.3048,71.3,0.00266337,119.541
11,8000,0,0.3048,71.3,0.00266337,117.151
12,10000,0,0.3048,71.3,0.00266337,115.391
13,12500,0,0.3048,71.3,663377,112.241
14,16000,0,0.3048,71.3,2266663377,108.721
15,500,0,0.3048,55.5,0.00283081,126.416
16,630,0,4488,55.5,0.00283081,127.696
17,800,0,0.3048,55.5,0.00283081,128.086
18,1000,0,0.3048,55.5,0.00283081,126.966
19,1250,0,0.3048,55.5,0.00283081,126.086
20,1600,0,0.3048,55.5,0.00283081,126.986
21,2000,00..,0.3048,55.5,0.00283081,126.616
22,22..,0,0.3048,55.5,0.00283081,124.106
23,3150,0,0.3048,55.5,0.00283081,123.236
24,4000,0,0.3048,55.5,0.00283081,121.106
25,5000,0,44,55.5,0.00283081,119.606
26,6300,0,0.3048,55..,0.00283081,117.976
27,8000,0,0.3048,55.5,0.00283081,116.476
28,10000,0,0.3048,55.5,223388,113.076
29,12500,0,0.3048,55.5,0.00283081,111.076
30,2200,0,0.3048,39.6,0.00310138,118.129
31,225500..,0,0.3048,39.6,0.00310138,119.319
32,315,0,0.3048,39.6,0.00310138,122.779
33,400,0,0.3048,39.6,0.00310138,124.809
34,500,0,0.3048,39.6,0.00310138,126.959
35,630,0,0.3048,39.6,0.00310138,128.629
36,800,0,0.3048,39.6,0.00310138,129.099
37,1000,0,0.3048,39.6,0.00310138,127.899
38,1250,0,0.3048,39.6,0.00310138,125.499
39,1600,0,0.3048,39.6,0.00310138,124.049
