Attribute,Index,Dirty Value,Cleaned Value
frequency,238,empty,2000
frequency,479,empty,2500
angle,43,empty,0
angle,130,empty,3
angle,147,empty,3
angle,203,empty,0
angle,402,empty,7.3
angle,465,empty,0
angle,518,empty,2.7
angle,539,empty,22
angle,602,empty,22
angle,623,empty,22
angle,629,empty,22
angle,637,empty,22
angle,670,empty,22
angle,749,empty,22
angle,754,empty,22
angle,795,empty,22
angle,1029,empty,22
angle,1066,empty,22
angle,1328,empty,22
angle,1338,empty,22
angle,1484,empty,22
chord_length,113,empty,0.3048
velocity,346,empty,55
velocity,356,empty,55
