index,i_w_blo_weg,o_w_blo_power,o_w_blo_voltage,i_w_bhl_weg,o_w_bhl_power,o_w_bhl_voltage,i_w_bhr_weg,o_w_bhr_power,o_w_bhr_voltage,i_w_bru_weg,o_w_bru_power,o_w_bru_voltage,i_w_hr_weg,o_w_hr_power,o_w_hr_voltage,i_w_hl_weg,o_w_hl_power,o_w_hl_voltage,labels
15903,-104.0,0.0,0.0,179.0,20845.0,54.0,442.0,14739.0,51.0,573.0,7.0,1.0,-833.0,10028.0,26.0,-833.0,15346.0,27.0,0
13288,360.0,24976.0,56.0,877.0,0.0,1.0,477.0,0.0,0.0,574.0,0.0,0.0,-833.0,10972.0,26.0,-833.0,empty,27.0,1
15643,-108.0,0.0,0.0,0.0,22.0,0.0,167.0,22960.0,56.0,574.0,0.0,1.0,-833.0,16237.0,29.0,-833.0,21056.0,29.0,0
9327,-107.0,0.0,0.0,0.0,0.0,0.0,155.0,20515.0,55.0,515.0,21168.0,56.0,0.0,13618.0,27.0,0.0,5734.0,26.0,0
19961,8.0,0.0,0.0,-547.0,86.0,2.0,-750.0,14739.0,50.0,-89.0,21114.0,55.0,0.0,20766.0,29.0,0.0,4120.0,26.0,0
5379,401.0,24090.0,56.0,877.0,0.0,0.0,477.0,0.0,0.0,578.0,38.0,1.0,-833.0,9716.0,26.0,-833.0,10567.0,26.0,0
18110,-149.0,0.0,0.0,367.0,22456.0,56.0,477.0,0.0,0.0,573.0,0.0,0.0,-833.0,7974.0,24.0,-833.0,27682.0,31.0,1
14991,7.0,0.0,0.0,-545.0,279.0,3.0,-274.0,20496.0,57.0,572.0,0.0,0.0,0.0,20070.0,29.0,0.0,10756.0,26.0,1
7241,-107.0,0.0,0.0,0.0,27.0,1.0,392.0,0.0,0.0,574.0,0.0,0.0,-759.0,8634.0,221.0,-761.0,4198.0,226.0,1
16037,empty,0.0,0.0,-547.0,41.0,0.0,-428.0,21010.0,55.0,573.0,24.0,1.0,0.0,26721.0,31.0,0.0,6736.0,24.0,0
