index,i_w_blo_weg,o_w_blo_power,o_w_blo_voltage,i_w_bhl_weg,o_w_bhl_power,o_w_bhl_voltage,i_w_bhr_weg,o_w_bhr_power,o_w_bhr_voltage,i_w_bru_weg,o_w_bru_power,o_w_bru_voltage,i_w_hr_weg,o_w_hr_power,o_w_hr_voltage,i_w_hl_weg,o_w_hl_power,o_w_hl_voltage,labels
15903,-104.00000000000001,0.0,0.0,179.0,20845.0,54.0,442.0,14739.0,51.0,573.0,7.0,1.0000000000000018,-833.0,10028.0,26.0,-833.0,15346.0,27.0,0.0
15643,-108.00000000000001,0.0,0.0,0.0,22.00000000000091,0.0,167.0,22960.0,56.0,574.0,0.0,1.0000000000000018,-833.0,16237.0,29.0,-833.0,21056.0,29.000000000000004,0.0
9327,-107.00000000000001,0.0,0.0,0.0,0.0,0.0,155.0,20515.0,55.0,515.0,21168.0,56.0,0.0,13618.0,27.0,5.684341886080802e-14,5734.0,26.0,0.0
19961,8.0,0.0,0.0,-547.0,86.0,2.0,-750.0,14739.0,50.0,-89.0,21114.0,55.0,0.0,20766.0,29.0,5.684341886080802e-14,4120.0,26.0,0.0
5379,401.0,24090.0,56.0,877.0,0.0,0.0,477.0,0.0,0.0,578.0,38.0,1.0000000000000018,-833.0,9716.0,26.0,-833.0,10567.0,26.0,0.0
18110,-149.0,0.0,0.0,367.0,22456.0,56.0,477.0,0.0,0.0,573.0,0.0,0.0,-833.0,7974.0,24.0,-833.0,27682.0,31.0,1.0
14991,7.0,0.0,0.0,-545.0,279.0000000000009,2.9999999999999982,-274.0,20496.0,57.0,572.0,0.0,0.0,0.0,20070.0,29.0,5.684341886080802e-14,10756.0,26.0,1.0
7241,-107.00000000000001,0.0,0.0,0.0,27.0,1.0,392.0,0.0,0.0,574.0,0.0,0.0,-759.0,8634.0,221.0,-761.0,4198.0,226.0,1.0
16037,7.999999999999993,0.0,0.0,-547.0,41.0,0.0,-428.0,21010.0,55.0,573.0,24.0,1.0000000000000018,0.0,26721.0,31.0,5.684341886080802e-14,6736.0,24.0,0.0
933,-108.00000000000001,0.0,0.0,0.0,70.0,1.0,-1255.0,0.0,0.0,74.0,19415.0,56.0,0.0,2872.0,24.0,5.684341886080802e-14,10418.0,24.0,0.0
8383,8.0,0.0,0.0,-547.0,70.0,2.0,-418.0,21112.0,56.0,573.0,0.0,0.0,0.0,22390.0,29.0,5.684341886080802e-14,7408.0,23.000000000000004,0.0
16840,-104.00000000000001,0.0,0.0,0.0,60.0,1.0,216.0,23313.0,57.0,567.0,5325.0,25.0,0.0,13834.0,27.0,5.684341886080802e-14,7408.0,26.0,0.0
18913,19.0,6107.0,30.999999481695333,-209.0,18200.0,52.0,476.0,0.0,0.0,573.0,0.0,0.0,-833.0,8234.0,26.0,-833.0,15562.0,29.000000000000004,0.0
12423,-105.00000000000001,0.0,0.0,66.0,19608.0,56.0,330.0,19030.0,55.0,574.0,0.0,0.0,-833.0,10574.0,26.0,-833.0,19548.0,29.000000000000004,0.0
1369,-105.00000000000001,0.0,0.0,0.0,24.0,1.0,208.0,24415.999999999996,56.0,572.0,4239.0,27.0,0.0,19635.0,29.0,5.684341886080802e-14,7096.0,24.0,0.0
7591,210.0,25251.0,58.0,-12.0,22797.0,51.0,478.0,0.0,0.0,573.0,0.0,0.0,-833.0,9950.0,26.0,-833.0,12997.0,27.0,0.0
1548,-106.00000000000001,0.0,0.0,361.0,23258.0,58.0,476.0,186.0,1.9999999999999982,574.0,0.0,0.0,-833.0,10288.0,26.0,-833.0,24159.0,29.000000000000004,0.0
13763,221.0,27260.0,58.0,878.0,0.0,0.0,477.0,0.0,0.0,578.0,0.0,0.0,-833.0,7376.0,26.0,-833.0,21781.0,29.000000000000004,1.0
10057,7.000000287302022,0.0,0.0,-545.0,1680.0,12.0,-232.0,21505.0,55.0,574.0,0.0,0.0,0.0,15535.0,29.0,5.684341886080802e-14,8080.0,24.0,1.0
