Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: datetime, MSE: 0.4095716159673742, Jaccard: 0.5412186379928315
Attribute: soil_temperature, MSE: 0.003743661968364722, Jaccard: 0.42705952380952383
Attribute: 454, MSE: 0.015387759813788987, Jaccard: 0.4877126654064272
Attribute: 458, MSE: 0.013251923112468266, Jaccard: 0.3597560975609756
Attribute: 462, MSE: 0.020311253171845706, Jaccard: 0.3770161290322581
Attribute: 466, MSE: 0.015224231044635737, Jaccard: 0.3693877551020408
Attribute: 470, MSE: 0.012790209147105394, Jaccard: 0.4043392504930966
Attribute: 474, MSE: 0.01577340674818183, Jaccard: 0.3908730158730159
Attribute: 478, MSE: 0.015354009182445111, Jaccard: 0.49626865671641796
Attribute: 482, MSE: 0.016928168009018935, Jaccard: 0.4
Attribute: 486, MSE: 0.012439431980243764, Jaccard: 0.35655737704918034
Attribute: 490, MSE: 0.011617863288593077, Jaccard: 0.34355828220858897
Attribute: 494, MSE: 0.019699629693796017, Jaccard: 0.3353909465020576
Attribute: 498, MSE: 0.02082915147700313, Jaccard: 0.345679012345679
Attribute: 502, MSE: 0.024058379481695712, Jaccard: 0.41200000000000003
Attribute: 506, MSE: 0.016168656610566635, Jaccard: 0.36048879837067205
Attribute: 510, MSE: 0.008884710989681487, Jaccard: 0.3577235772357723
Attribute: 514, MSE: 0.017028758915027066, Jaccard: 0.36809815950920244
Attribute: 518, MSE: 0.010573593813577142, Jaccard: 0.29299363057324845
Attribute: 522, MSE: 0.00906225729155536, Jaccard: 0.398406374501992
Attribute: 526, MSE: 0.009059084802600372, Jaccard: 0.3737373737373737
Attribute: 530, MSE: 0.01806752960300999, Jaccard: 0.40718562874251496
Attribute: 534, MSE: 0.02768970736074323, Jaccard: 0.4621513944223108
Attribute: 538, MSE: 0.01341016764746834, Jaccard: 0.306553911205074
Attribute: 542, MSE: 0.021139106858158712, Jaccard: 0.3891129032258065
Attribute: 546, MSE: 0.018071206117910736, Jaccard: 0.45401174168297453
Attribute: 550, MSE: 0.009135090718908428, Jaccard: 0.3722334004024145
Attribute: 554, MSE: 0.0130875340374519, Jaccard: 0.4231536926147704
Attribute: 558, MSE: 0.010290147396025061, Jaccard: 0.3496932515337423
Attribute: 562, MSE: 0.01799517218132819, Jaccard: 0.32985386221294366
Attribute: 566, MSE: 0.01325985350470795, Jaccard: 0.35437881873727084
Attribute: 570, MSE: 0.015592581418077811, Jaccard: 0.384928716904277
Attribute: 574, MSE: 0.014255363643297464, Jaccard: 0.2947368421052632
Attribute: 578, MSE: 0.013118485508692946, Jaccard: 0.2817796610169492
Attribute: 582, MSE: 0.014586084319295112, Jaccard: 0.31875
Attribute: 586, MSE: 0.012305586182429704, Jaccard: 0.3580246913580247
Attribute: 590, MSE: 0.013754379642383385, Jaccard: 0.375
Attribute: 594, MSE: 0.01716198914555179, Jaccard: 0.4048096192384769
Attribute: 598, MSE: 0.010726300975759356, Jaccard: 0.35902636916835695
