Attribute,Index,Dirty Value,Cleaned Value,Clean Value
datetime,612,1495462155,1495562884.448957,1495798819
datetime,469,1494482145,1495613211.5480697,1495015822
datetime,101,1494952911,1494812500.6315076,1494952911
datetime,539,1496233109,1494524127.3106172,1495041744
datetime,273,1496838082,1495627087.0200648,1495622327
datetime,155,1494836019,1495633874.859712,1495544569
datetime,58,1495555815,1496067319.7151349,1495555815
datetime,433,1494999490,1495848528.0062172,1495640340
datetime,226,1493643106,1494609156.4910326,1495035972
datetime,27,1494306789,1495906325.9270463,1495551497
datetime,51,1496213919,1495407422.8815286,1495554975
datetime,158,1495544929,1495661908.6748693,1495544929
datetime,651,1496708016,1495699076.1661966,1495804330
datetime,371,1495026254,1495608024.6366136,1495026254
datetime,366,1495025654,1495609071.794358,1495025654
datetime,384,1495059065,1495508667.9343522,1495625296
datetime,465,1497887478,1495023478.400272,1495022899
datetime,545,1495042464,1494533601.8932245,1495042464
datetime,75,1498101198,1495434143.8180969,1495537706
datetime,140,empty,1495494077.8837032,1495542013
datetime,254,1494494311,1494519173.780844,1495039606
datetime,434,1495640460,1495458876.5203438,1495640460
datetime,471,1492541441,1495191361.262303,1495016062
datetime,294,1495629269,1495314118.4850674,1495629269
datetime,123,1494856286,1495596667.3149056,1495540002
datetime,184,1494934087,1495376994.5972445,1494934087
datetime,657,1498217033,1495698898.6044998,1495805050
datetime,385,1495625416,1495500772.9144464,1495625416
datetime,577,1494912136,1495532010.5093174,1495794388
datetime,160,1495545169,1495461265.5788553,1495545169
datetime,171,1495546489,1495360019.4141624,1495546489
datetime,547,1495042704,1494531943.7502625,1495042704
datetime,48,1495438544,1495524952.6838524,1495554615
datetime,380,1495624816,1495700296.3134649,1495624816
datetime,296,empty,1495354554.540953,1495629509
datetime,456,1495021819,1494961535.3604312,1495021819
datetime,106,1493249034,1494796879.8015528,1494953511
datetime,35,1495552815,1495756894.9049475,1495552815
datetime,167,1495546009,1495662259.2104428,1495546009
datetime,563,1496010066,1495760362.123243,1495792708
datetime,190,1494934807,1495192002.061476,1494934807
datetime,476,1495016662,1495612628.603254,1495016662
datetime,475,1495846242,1495268177.5163844,1495016542
datetime,161,1495545289,1495649103.0000234,1495545289
datetime,373,1495026494,1495021206.300375,1495026494
datetime,459,1495022179,1495730030.2834215,1495022179
datetime,21,1493928982,1495648280.2558095,1495550777
datetime,103,1496888156,1495392931.235607,1494953151
soil_temperature,297,38.63989255,32.638435572218675,32.9
soil_temperature,421,15.89884138,38.02386254821354,31.7
soil_temperature,469,21.37521438,37.378572111391954,32.4
soil_temperature,47,57.06775665,35.056013518878984,30
soil_temperature,196,55.31341244,33.76510063726041,34.5
soil_temperature,555,41.5,43.761617299989666,41.5
soil_temperature,334,39.50367119,39.78668819170439,44.2
soil_temperature,150,66.0022242,34.687093750239534,33.6
soil_temperature,670,21.80158516,37.73088249589022,41.5
soil_temperature,551,12.27213038,43.02202122624412,42.3
soil_temperature,313,29.65991915,36.237628915389394,38.4
soil_temperature,306,48.81015195,36.58671633805664,39.1
soil_temperature,523,73.9680751,34.87655214324598,29
soil_temperature,422,18.25457117,35.47744022366066,32.5
soil_temperature,223,28.64872593,44.5012362544001,44.8
soil_temperature,564,54.08019506,37.7433767026359,34
soil_temperature,191,52.27486023,34.684089731259284,33.4
soil_temperature,418,41.45525798,33.137910076014606,31.3
soil_temperature,433,18.49792455,37.58248691660371,32.8
soil_temperature,430,28.36089069,40.31687563202831,34.1
soil_temperature,513,25.91320298,30.877536391294427,31.3
soil_temperature,394,62.67125505,37.58378027390222,35.6
soil_temperature,317,34.69897535,36.24232067875939,37.8
soil_temperature,27,36.37024292,36.40101523507379,35.9
soil_temperature,230,46.89887346,43.990964542456254,44.1
soil_temperature,38,18.93699659,36.67389171750097,33.9
soil_temperature,169,42.0628826,35.72397574709395,35.2
soil_temperature,426,58.25312235,35.73524170168549,35.4
soil_temperature,163,42.84419814,36.06094197354985,34.1
soil_temperature,624,47.73012121,37.39792994232081,38.8
soil_temperature,366,41.2,33.93875410061709,41.2
soil_temperature,465,7.849327231,38.103865603846835,40
soil_temperature,435,42.83077427,33.565984763056505,31.5
soil_temperature,104,38.00943226,45.61819783410545,46.1
soil_temperature,512,32.1,33.47156337657922,32.1
soil_temperature,208,54.81753948,44.39104312084578,45.1
soil_temperature,514,15.89906252,33.57941997620233,30.9
soil_temperature,466,30.99655948,40.660887202358055,39.7
soil_temperature,543,42.5,43.407601959851384,42.5
soil_temperature,420,9.302000546,31.12246606984785,31.5
soil_temperature,148,31.10161551,34.35918701892792,33.9
soil_temperature,349,52.46011351,38.0987084863296,40.2
soil_temperature,464,58.63870958,39.14945557538863,40.2
soil_temperature,144,14.33275711,34.14021837976934,33.7
soil_temperature,240,38.03462579,43.75036363218051,43.6
soil_temperature,372,48.99352333,39.90020449930965,41.5
soil_temperature,255,65.96270997,43.852899121784176,43.9
soil_temperature,401,42.06473695,33.81916143984467,32.3
soil_temperature,123,15.8860056,34.10156547313785,32.3
soil_temperature,184,28.2,33.503665094835064,28.2
soil_temperature,439,21.81036068,31.616879942914032,36.8
soil_temperature,324,48.46556902,39.02804737818965,43.9
soil_temperature,247,48.90554341,43.77719739099569,44.1
soil_temperature,403,55.30816491,33.45053854933976,33.2
