Attribute,Index,Dirty Value,Clean Value
datetime,421,1494768002,1495638900
datetime,358,1497958007,1495024694
datetime,469,1494482145,1495015822
datetime,334,1495317767,1495030449
datetime,539,1496233109,1495041744
datetime,587,1495880295,1495795588
datetime,670,1495623808,1495806610
datetime,536,1493135957,1495041384
datetime,13,1495489998,1495549817
datetime,523,1494501394,1495635287
datetime,532,1494999535,1495040904
datetime,273,1496838082,1495622327
datetime,389,1496253449,1495625896
datetime,256,1492467798,1495039846
datetime,191,1496359173,1494934927
datetime,95,1497154207,1494952191
datetime,433,1494999490,1495640340
datetime,430,1495909539,1495639980
datetime,623,1494085057,1495800611
datetime,317,1496160700,1495632029
datetime,625,1495504802,1495800851
datetime,51,1496213919,1495554975
datetime,38,1498162290,1495553175
datetime,651,1496708016,1495804330
datetime,655,1497831812,1495804810
datetime,163,1494436519,1495545529
datetime,624,1497429706,1495800731
datetime,153,1495977302,1495543573
datetime,465,1497887478,1495022899
datetime,75,1498101198,1495537706
datetime,654,1495518399,1495804690
datetime,120,1492765389,1494955191
datetime,304,1496129953,1495630469
datetime,369,1494698992,1495026014
datetime,199,1493837452,1495032732
datetime,443,1494734784,1495020259
datetime,603,1493207856,1495797738
datetime,187,1495199948,1494934447
datetime,144,1494431586,1495542493
datetime,240,1494824081,1495037926
datetime,123,1494856286,1495540002
datetime,416,1495927236,1495638300
datetime,172,1496717785,1495546609
datetime,600,1495547354,1495797378
datetime,126,1495201731,1495540333
datetime,403,1495546432,1495627576
datetime,537,1494225850,1495041504
datetime,224,1493947430,1495035732
datetime,220,1494750268,1495035252
datetime,619,1495701027,1495799659
datetime,442,1495293418,1495020139
datetime,113,1494333487,1494954351
datetime,644,1496356258,1495803131
datetime,577,1494912136,1495794388
datetime,243,1495753101,1495038286
datetime,241,1494025520,1495038046
datetime,398,1494987516,1495626976
datetime,5,1493992532,1495548857
datetime,604,1498932754,1495797858
datetime,407,1494870892,1495628056
datetime,503,1496132405,1495632887
datetime,48,1495438544,1495554615
datetime,129,1495430159,1495540693
datetime,157,1494359427,1495544809
datetime,53,1496534729,1495555215
datetime,462,1495379121,1495022539
datetime,402,1494792186,1495627456
datetime,81,1495624079,1495538426
datetime,367,1494929065,1495025774
datetime,14,1496322504,1495549937
datetime,316,1494062473,1495631909
datetime,274,1496053281,1495622447
datetime,563,1496010066,1495792708
datetime,475,1495846242,1495016542
datetime,253,1494990714,1495039486
datetime,22,1495849730,1495550897
datetime,414,1496324071,1495638060
datetime,344,1496735468,1495031649
datetime,309,1496928991,1495631069
datetime,664,1493318550,1495805890
datetime,215,1495015838,1495034652
soil_temperature,195,36.44414111,33.9
soil_temperature,171,46.58857658,35.4
454,307,0.041755799,0.094174057
454,650,0.073120209,0.08988773
454,382,0.083831246,0.093791262
454,482,0.131618483,0.100565158
454,51,0.065845253,0.058667809
454,384,0.147493956,0.094397058
454,611,0.035134343,0.083739235
454,308,0.119240624,0.094432608
454,148,0.072038546,0.083212106
454,401,0.111937099,0.090908435
454,416,0.123499248,0.099821494
454,614,0.044702321,0.084230159
454,517,0.06308669,0.075465647
454,605,0.103985621,0.081937114
454,241,0.077328628,0.164903533
454,593,0.091055813,0.079545853
454,379,0.092215246,0.093150693
454,289,0.136779544,0.095916852
454,462,0.090357524,0.113497064
454,162,0.124996687,0.081315559
454,206,0.102628879,0.132641481
454,242,0.0846131,0.166616662
454,388,0.040556748,0.090632079
454,274,0.100349391,0.094752668
454,567,0.136815898,0.081381489
454,492,0.143014478,0.102529207
458,555,0.111664775,0.124514443
458,606,0.072295482,0.057087091
458,319,0.0896114,0.082869882
458,246,0.041846659,0.117453546
458,95,0.128201781,0.085357889
458,430,0.078235885,0.074751178
458,46,0.069926345,0.036889552
458,574,0.066094005,0.059235459
458,163,0.071408434,0.055890968
458,116,0.067702805,0.087161268
458,140,0.038244394,0.059079049
458,514,0.061708766,0.069308268
458,112,0.052746405,0.086280779
458,263,0.086931231,0.071674396
458,441,0.089943593,0.070433878
458,267,0.083388292,0.070476038
458,359,0.11258355,0.076454797
458,283,0.070438142,0.066417168
458,243,0.127891598,0.116824886
458,525,0.098276995,0.0628474
458,241,0.091504613,0.11518817
458,63,0.069889014,0.081142109
458,129,0.068079675,0.058140226
458,252,0.040533178,0.120109356
458,81,0.038153332,0.083139688
458,367,0.051202508,0.075139837
458,14,0.079127421,0.054705321
458,59,0.080285495,0.048423682
458,373,0.055759538,0.074897901
462,358,0.057455968,0.067999831
462,555,0.09616449,0.114920685
462,26,0.05283836,0.050140231
462,389,0.056314505,0.05785342
462,502,0.041837002,0.058434931
462,27,0.049079169,0.050263973
462,158,0.076014755,0.050033713
462,651,0.070604105,0.05151862
462,195,0.057710046,0.064926841
462,655,0.045012356,0.051696644
462,465,0.080672648,0.067553672
462,545,0.04656024,0.11282217
462,654,0.067781976,0.052263488
462,639,0.065428962,0.055213705
462,37,0.06754895,0.049635906
462,304,0.084059407,0.058375403
462,514,0.071206466,0.062159614
462,480,0.042494897,0.064725186
462,441,0.047925959,0.063231428
462,240,0.0562074,0.102030755
462,324,0.095633083,0.073536176
462,198,0.057675059,0.078733482
462,537,0.091510673,0.11311866
462,233,0.074098205,0.099388143
462,560,0.071161484,0.054997189
