Attribute,Index,Dirty Value,Cleaned Value
soil_temperature,4,0.304657529,0.3046575290000035
soil_temperature,5,27.01287931,27.012879309999995
soil_temperature,21,81.42550049,81.42550049000002
soil_temperature,57,12.16195362,12.161953619999998
soil_temperature,78,12.90334956,12.903349560000002
soil_temperature,84,-3.849819541,-3.8498195410000022
soil_temperature,541,58.44972839,58.44972838999999
454,7,0.23604476,0.2360447599999999
454,25,0.231526928,0.2315269279999999
454,35,-0.020284924,-0.0202849239999999
454,46,0.03504118,0.0350411799999999
454,47,0.028450886,0.0284508859999999
454,105,-0.014131354,-0.0141313539999999
454,197,0.245117554,0.2451175539999999
454,368,0.231730056,0.2317300559999999
458,2,0.007902579,0.0079025789999999
458,12,0.05412212,0.0541221199999999
458,47,0.032346041,0.0323460409999999
458,117,empty,0.0779354482592592
458,376,-0.011776078,-0.0117760779999999
458,541,0.124153254,0.1241532539999999
458,543,0.03105912,0.0310591199999999
462,8,0.00406504,0.0040650399999999
462,17,0.005825183,0.0058251829999999
462,33,0.001577635,0.0015776349999999
462,41,0.037770402,0.0377704019999999
462,56,-0.054054791,-0.0540547909999999
462,148,-0.058891544,-0.0588915439999999
462,173,0.00302751,0.0030275099999999
466,10,-0.007836981,-0.0078369809999999
466,14,0.010945037,0.0109450369999999
466,42,empty,0.0636745786791044
466,49,-0.070009226,-0.0700092259999999
466,68,0.106171751,0.1061717509999999
466,117,-0.018806626,-0.0188066259999999
466,173,empty,0.0636745786791044
466,265,0.00583429,0.0058342899999999
470,21,-0.018471449,-0.0184714489999999
474,31,-0.076708342,-0.0767083419999999
474,50,-0.012728646,-0.0127286459999999
474,57,-0.108077999,-0.1080779989999999
474,65,0.005306227,0.0053062269999999
474,80,-0.013600143,-0.0136001429999999
474,84,0.020107715,0.0201077149999999
474,260,0.003098421,0.0030984209999999
474,287,-0.012378934,-0.0123789339999999
474,368,-0.0039852,-0.0039851999999999
478,33,0.015770584,0.0157705839999999
478,34,-0.016635517,-0.0166355169999999
478,75,-0.007056792,-0.0070567919999999
478,91,-0.033478484,-0.0334784839999999
478,541,0.111495361,0.1114953609999999
482,7,0.029255567,0.0292555669999999
482,26,0.012470339,0.0124703389999999
482,38,empty,0.0576075903407407
482,125,-0.007218746,-0.0072187459999999
482,162,-0.046915781,-0.0469157809999999
486,5,-0.004417039,-0.0044170389999999
486,21,0.028930027,0.0289300269999999
486,38,-0.063500186,-0.0635001859999999
486,78,0.0248104,0.0248103999999999
486,555,-0.025440961,-0.0254409609999999
490,55,-0.020113757,-0.0201137569999999
490,65,0.027320184,0.0273201839999999
490,93,0.027675464,0.0276754639999999
490,98,0.192520493,0.1925204929999999
490,183,-0.001526565,-0.0015265649999999
490,194,-0.01183068,-0.0118306799999999
490,540,0.221337985,0.2213379849999999
494,4,-0.033320306,-0.0333203059999999
494,40,0.016847089,0.0168470889999999
494,73,-0.016006739,-0.0160067389999999
494,75,0.015802689,0.0158026889999999
494,114,0.026760362,0.0267603619999999
494,196,0.015335337,0.0153353369999999
498,5,0.010374935,0.0103749349999999
498,98,0.009057969,0.0090579689999999
502,5,-0.032232747,-0.0322327469999999
502,36,0.01078277,0.0107827699999999
502,71,0.002437073,0.0024370729999999
502,105,0.028174773,0.0281747729999999
502,143,0.008063664,0.0080636639999999
502,150,0.030794775,0.0307947749999999
502,166,0.009205594,0.0092055939999999
502,541,0.124222381,0.1242223809999999
506,44,0.000711323,0.0007113229999999
506,46,-0.018601281,-0.0186012809999999
506,52,0.002303692,0.0023036919999999
506,95,0.013640028,0.0136400279999999
506,125,-0.083241964,-0.0832419639999999
506,289,-0.011971682,-0.0119716819999999
506,558,-0.011181288,-0.0111812879999999
510,47,0.209744727,0.2097447269999999
510,97,-0.003444277,-0.0034442769999999
510,166,-0.005021428,-0.0050214279999999
514,57,0.031238881,0.0312388809999999
514,109,-0.006236123,-0.0062361229999999
514,117,-0.073774152,-0.0737741519999999
514,194,0.027819325,0.0278193249999999
518,19,-0.020624653,-0.0206246529999999
518,36,-0.032757229,-0.0327572289999999
518,98,-0.015336643,-0.0153366429999999
518,196,0.248392219,0.2483922189999999
522,11,-0.03798468,-0.0379846799999999
522,71,-0.028413105,-0.0284131049999999
522,80,-0.042549278,-0.0425492779999999
522,141,0.120179256,0.1201792559999999
522,291,-0.09658919,-0.0965891899999999
526,13,-0.141462826,-0.1414628259999999
526,17,-0.078112082,-0.0781120819999999
526,23,0.013932246,0.0139322459999999
526,26,-0.051829275,-0.0518292749999999
526,110,0.164983978,0.1649839779999999
526,376,-0.07457283,-0.0745728299999999
530,9,-0.02299609,-0.0229960899999999
530,16,0.008746642,0.0087466419999999
530,101,-0.016732153,-0.0167321529999999
530,119,-0.030869528,-0.0308695279999999
530,149,-0.022936428,-0.0229364279999999
530,178,-0.030540004,-0.0305400039999999
530,368,0.008981986,0.0089819859999999
534,13,-0.006890102,-0.0068901019999999
534,19,0.202349998,0.2023499979999999
534,56,-0.139579113,-0.1395791129999999
538,33,-0.101460836,-0.1014608359999999
538,88,-0.001292904,-0.0012929039999999
538,125,-0.010159091,-0.0101590909999999
542,9,0.039980949,0.0399809489999999
542,44,-0.007961767,-0.0079617669999999
542,52,0.023244376,0.0232443759999999
542,75,-0.006982585,-0.0069825849999999
542,149,0.039577937,0.0395779369999999
542,203,0.022165991,0.0221659909999999
546,41,-0.031965303,-0.0319653029999999
546,67,0.011716596,0.0117165959999999
546,91,-0.026106886,-0.0261068859999999
546,93,-0.010350268,-0.0103502679999999
546,287,0.205753879,0.2057538789999999
550,14,-0.02232593,-0.0223259299999999
550,68,0.008235049,0.0082350489999999
550,74,-0.03824807,-0.0382480699999999
550,106,empty,0.1019702294814814
550,148,0.030906036,0.0309060359999999
550,260,-0.002637671,-0.0026376709999999
554,2,-0.133345835,-0.1333458349999999
554,40,-0.003578668,-0.0035786679999999
554,50,0.000311489,0.0003114889999999
554,52,-0.010521638,-0.0105216379999999
554,71,0.202853572,0.2028535719999999
558,3,-0.04551043,-0.0455104299999999
558,87,-0.061374354,-0.0613743539999999
558,88,-0.048914348,-0.0489143479999999
558,184,-0.003098807,-0.0030988069999999
562,6,0.028728961,0.0287289609999999
562,24,-0.103634605,-0.1036346049999999
562,28,-0.027246745,-0.0272467449999999
562,39,-0.002935419,-0.0029354189999999
562,41,-0.071383887,-0.0713838869999999
562,73,0.004761611,0.0047616109999999
562,75,-0.031503593,-0.0315035929999999
562,93,-0.107774575,-0.1077745749999999
562,94,0.023832679,0.0238326789999999
562,106,0.003151667,0.0031516669999999
562,119,empty,0.0942689738296296
562,178,0.003911138,0.0039111379999999
562,280,0.025374606,0.0253746059999999
566,28,-0.008380005,-0.0083800049999999
566,42,0.23181946,0.2318194599999999
566,74,0.020112568,0.0201125679999999
566,327,-0.011949864,-0.0119498639999999
566,540,0.226947959,0.2269479589999999
570,3,0.011356697,0.0113566969999999
570,6,-0.060385709,-0.0603857089999999
570,9,-0.108070793,-0.1080707929999999
570,74,0.033056201,0.0330562009999999
570,105,-0.001039269,-0.0010392689999999
570,114,0.04868291,0.0486829099999999
570,194,-0.020171535,-0.0201715349999999
574,10,0.092567076,0.082302754
574,21,empty,0.114520616637037
574,73,0.02200869,0.0220086899999999
574,206,-0.00104117,-0.0010411699999999
574,280,0.002233159,0.0022331589999999
574,327,-0.096449276,-0.0964492759999999
574,376,0.352819638,0.3528196379999999
574,540,0.005327502,0.0053275019999999
578,7,0.138977771,0.08362385
578,57,0.235285271,0.2352852709999999
578,82,-0.054774281,-0.0547742809999999
582,4,0.042431782,0.085804253
582,7,0.044018324,0.085680608
582,12,0.037873899,0.086059386
582,14,-0.058722574,0.085733104
582,19,-0.017784628,0.086056929
582,26,0.285395593,0.089232157
582,42,-0.135154717,-0.1351547169999999
582,80,-0.195341611,-0.1953416109999999
582,196,0.041517462,0.0415174619999999
582,541,empty,0.1223010866666666
586,24,0.010706337,0.0107063369999999
586,27,-0.126305831,-0.1263058309999999
586,106,0.020511692,0.0205116919999999
586,122,0.027296111,0.0272961109999999
590,10,-0.078012102,0.088770449
590,36,-0.029717791,-0.0297177909999999
590,44,empty,0.1181228121703703
590,54,-0.14504534,-0.1450453399999999
590,73,0.00658436,0.0065843599999999
590,78,0.012286381,0.0122863809999999
590,241,0.00070092,0.0007009199999999
590,284,0.014472905,0.0144729049999999
594,50,-0.111544127,-0.1115441269999999
594,289,-0.033692611,-0.0336926109999999
598,2,0.296091189,0.090899753
598,14,0.034014115,0.091428852
598,21,-0.015702551,-0.0157025509999999
598,22,-0.026225416,0.093202086
598,98,0.001374169,0.0013741689999999
598,137,-0.030904551,-0.0309045509999999
598,327,0.248497196,0.2484971959999999
602,6,0.043570374,0.092925099
602,13,0.353477235,0.093085063
602,14,-0.02701068,0.092812842
602,26,0.109596668,0.096104579
602,65,0.262534023,0.109913274
602,73,-0.001495397,-0.0014953969999999
606,65,0.330549985,0.112686164
606,108,0.045545519,0.0455455189999999
606,162,-0.005777468,-0.0057774679999999
610,10,-0.232938732,0.094658006
610,36,0.039403738,0.0394037379999999
610,40,0.053398645,0.0533986449999999
610,70,-0.017073019,-0.0170730189999999
610,76,-0.060592869,-0.0605928689999999
610,80,0.033683519,0.0336835189999999
610,108,0.013254802,0.0132548019999999
610,114,0.026649362,0.0266493619999999
610,143,-0.095832015,-0.0958320149999999
614,13,0.031183794,0.096038783
614,21,-0.145750938,0.097251678
614,41,0.16450388,0.096750076
614,98,-0.030022854,-0.0300228539999999
614,106,0.012966343,0.0129663429999999
614,109,-0.028193287,-0.0281932869999999
618,11,-0.059287064,0.096550856
618,14,-0.25428485,0.096956446
618,17,0.225263229,0.098195143
618,23,0.038756752,0.0387567519999999
618,24,0.064498607,0.098386305
618,31,0.031895253,0.0318952529999999
618,67,0.268740277,0.118378342
618,108,empty,0.1249040026641791
618,109,empty,0.1249040026641791
618,125,-0.083487843,-0.0834878429999999
622,6,-0.071348506,0.09817217
622,11,0.407844634,0.097937784
622,17,0.039281043,0.09914411
622,113,-0.003891871,-0.0038918709999999
626,5,-0.026516421,0.09901993
626,9,-0.166766219,0.098541593
626,12,-0.043176558,0.099297671
626,17,-0.023266844,0.099655333
626,52,-0.175370514,0.105081218
626,57,0.1661252,0.10825532
626,58,0.1990574,0.107826389
626,67,-0.147215104,0.122051947
626,73,0.144175886,0.121674033
626,80,0.460743774,0.116406665
626,105,0.255061609,0.160625921
626,108,-0.0057817,0.16163603
626,114,0.061123175,0.161455368
626,150,0.144734396,0.102115588
626,178,0.029704023,0.0297040229999999
630,5,0.048985731,0.099928809
630,17,0.086137383,0.100637025
630,21,0.344134552,0.100765692
630,22,-0.050423393,0.10176523
630,23,-0.011574391,0.101627852
630,44,0.033328586,0.0333285859999999
630,47,0.005556792,0.102817208
630,56,0.120535504,0.108504335
630,67,0.175018433,0.123524699
630,68,0.092750243,0.12082379
630,84,0.14289392,0.118444826
630,88,0.096237564,0.1205288
630,98,0.132714273,0.162994071
630,106,0.25848918,0.162484006
630,150,0.213438923,0.102602699
630,166,-0.074397281,0.100221696
630,192,0.072110723,0.113434602
630,206,-0.071812117,0.156739085
630,542,0.058868868,0.0588688679999999
630,558,empty,0.1315756041703703
634,5,0.249640346,0.100422119
634,8,0.008279516,0.100081745
634,34,empty,0.1319947754518518
634,50,0.089362867,0.106245207
634,62,0.084679945,0.124923284
634,78,-0.050885572,0.123598537
634,109,0.000184723,0.0001847229999999
634,117,0.178878597,0.165181693
634,260,-0.023765624,-0.0237656239999999
638,3,0.024196182,0.0241961819999999
