dataset,task_type,model,metric,metric_value,P_do_nothing,P_replaceall,P_repair_all,truth_cost,f1,mse,ari
adult,classification,rf,accuracy,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8564953012714207,0,0.8502176697203637,,
adult,classification,lr,accuracy,0.820342730790492,0.8518518518518519,0.820342730790492,0.8564953012714207,0,0.8087583318987146,,
adult,classification,svm,accuracy,0.848424543946932,0.8518518518518519,0.848424543946932,0.8564953012714207,0,0.8417812275254739,,
adult,classification,knn,accuracy,0.8200110558319513,0.8518518518518519,0.8200110558319513,0.8564953012714207,0,0.8192908431989008,,
adult,classification,dt,accuracy,0.7745715865118851,0.8518518518518519,0.7745715865118851,0.8564953012714207,0,0.781345816132457,,
adult,classification,gb,accuracy,0.8694306246545053,0.8518518518518519,0.8694306246545053,0.8564953012714207,0,0.8650690687283903,,
beers,classification,rf,accuracy,0.3029045643153527,0.22821576763485477,0.3029045643153527,0.2946058091286307,0,0.26976105762789554,,
beers,classification,lr,accuracy,0.18464730290456433,0.22821576763485477,0.18464730290456433,0.2946058091286307,0,0.08720963907685898,,
beers,classification,svm,accuracy,0.18464730290456433,0.22821576763485477,0.18464730290456433,0.2946058091286307,0,0.05756080545886594,,
beers,classification,knn,accuracy,0.27593360995850624,0.22821576763485477,0.27593360995850624,0.2946058091286307,0,0.22708441175919028,,
beers,classification,dt,accuracy,0.2987551867219917,0.22821576763485477,0.2987551867219917,0.2946058091286307,0,0.26433287796986216,,
beers,classification,gb,accuracy,0.2863070539419087,0.22821576763485477,0.2863070539419087,0.2946058091286307,0,0.2557789084776273,,
bike,regression,rf,r2,0.9960330663190344,0.9962917472557477,0.9960330663190344,0.9997741887479192,0,,124.66166093210586,
bike,regression,svm,r2,0.881833399948627,0.9962917472557477,0.881833399948627,0.9997741887479192,0,,3713.4083435240655,
bike,regression,knn,r2,0.9519950453719758,0.9962917472557477,0.9519950453719758,0.9997741887479192,0,,1508.5650172612197,
bike,regression,dt,r2,0.9978129148863731,0.9962917472557477,0.9978129148863731,0.9997741887479192,0,,68.72957422324511,
bike,regression,gb,r2,0.995410507381906,0.9962917472557477,0.995410507381906,0.9997741887479192,0,,144.22569637412857,
breast_cancer,classification,rf,accuracy,0.9928571428571429,0.9928571428571429,0.9928571428571429,0.9928571428571429,0,0.992829703201893,,
breast_cancer,classification,lr,accuracy,0.9857142857142858,0.9928571428571429,0.9857142857142858,0.9928571428571429,0,0.9856018568889855,,
breast_cancer,classification,svm,accuracy,0.9857142857142858,0.9928571428571429,0.9857142857142858,0.9928571428571429,0,0.9857142857142858,,
breast_cancer,classification,knn,accuracy,0.9928571428571429,0.9928571428571429,0.9928571428571429,0.9928571428571429,0,0.992829703201893,,
breast_cancer,classification,dt,accuracy,0.9642857142857143,0.9928571428571429,0.9642857142857143,0.9928571428571429,0,0.9638538801100377,,
breast_cancer,classification,gb,accuracy,0.9785714285714285,0.9928571428571429,0.9785714285714285,0.9928571428571429,0,0.9784891096056786,,
har,clustering,kmeans,silhouette,0.49094983112685886,0.5238125895953722,0.49094983112685886,0.6875855528743094,0,,,0.6477855509688378
har,clustering,agglomerative,silhouette,0.497581,0.499615,0.497581,0.682150,0,,,
mercedes,regression,rf,r2,0.40464878787066705,0.36012068799233987,0.40464878787066705,0.39366847211154044,0,,112.52922619668644,
mercedes,regression,svm,r2,0.2921740555232709,0.36012068799233987,0.2921740555232709,0.39366847211154044,0,,133.78843309821266,
mercedes,regression,knn,r2,0.25458857733291007,0.36012068799233987,0.25458857733291007,0.39366847211154044,0,,140.89258387648457,
mercedes,regression,dt,r2,0.21351309368629234,0.36012068799233987,0.21351309368629234,0.39366847211154044,0,,148.65639168646084,
mercedes,regression,gb,r2,0.4294131248056917,0.36012068799233987,0.4294131248056917,0.39366847211154044,0,,107.84844010639631,
nasa,regression,rf,r2,0.5875634990124914,0.6058186856035939,0.5875634990124914,0.680036678206931,0,,19.604847039764003,
nasa,regression,svm,r2,0.01929960871615477,0.6058186856035939,0.01929960871615477,0.680036678206931,0,,46.6168273586891,
nasa,regression,knn,r2,0.19528054555987606,0.6058186856035939,0.19528054555987606,0.680036678206931,0,,38.251710933554804,
nasa,regression,dt,r2,0.3231926150809833,0.6058186856035939,0.3231926150809833,0.680036678206931,0,,32.171510583933184,
nasa,regression,gb,r2,0.5896722293068268,0.6058186856035939,0.5896722293068268,0.680036678206931,0,,19.504610191741154,
smartfactory,classification,rf,accuracy,0.9619369845633327,0.9583421442165363,0.9619369845633327,0.9663776696976105,0,0.9614192677187225,,
smartfactory,classification,lr,accuracy,0.7595686191583845,0.9583421442165363,0.7595686191583845,0.9663776696976105,0,0.6576589062241166,,
smartfactory,classification,svm,accuracy,0.7637978430957919,0.9583421442165363,0.7637978430957919,0.9663776696976105,0,0.6674304847966059,,
smartfactory,classification,knn,accuracy,0.7991118629731444,0.9583421442165363,0.7991118629731444,0.9663776696976105,0,0.7897492847540476,,
smartfactory,classification,dt,accuracy,0.9450200888137027,0.9583421442165363,0.9450200888137027,0.9663776696976105,0,0.9451013205892652,,
smartfactory,classification,gb,accuracy,0.7974201733981814,0.9583421442165363,0.7974201733981814,0.9663776696976105,0,0.7421597439193987,,
soilmoisture,regression,rf,r2,0.9179422789804818,0.8836748177014123,0.9179422789804818,0.9409867037386066,0,,1.2191823361764675,
soilmoisture,regression,svm,r2,0.7181828004548061,0.8836748177014123,0.7181828004548061,0.9409867037386066,0,,4.187132514129826,
soilmoisture,regression,knn,r2,0.8712944338734838,0.8836748177014123,0.8712944338734838,0.9409867037386066,0,,1.912258235294117,
soilmoisture,regression,dt,r2,0.8491058869969272,0.8836748177014123,0.8491058869969272,0.9409867037386066,0,,2.241927205882354,
soilmoisture,regression,gb,r2,0.90874024946153,0.8836748177014123,0.90874024946153,0.9409867037386066,0,,1.3559025826943047,
