Attribute,Index,Clean Value,Cleaned Value
dteday,2964,359567.0833333333,359567.0833
dteday,4516,359663.11666666664,359663.1167
dteday,15826,368759.1666666667,368759.1667
dteday,16414,368639.18333333335,368639.1833
dteday,2841,359447.0833333333,359447.0833
dteday,38,359423.01666666666,361326.8291029334
dteday,577,359999.01666666666,359999.0167
dteday,15913,368879.1666666667,368879.1667
dteday,4900,360047.11666666664,360047.1167
dteday,11597,368207.0833333333,368207.0833
dteday,882,359591.0333333333,359591.0333
dteday,4901,360047.11666666664,360047.1167
dteday,2246,359567.06666666665,368880
dteday,13288,368423.1166666666,363438.82963263785
dteday,5688,360095.13333333336,359848.7664940592
dteday,16557,368783.18333333335,368783.1833
dteday,9967,368735.0333333333,368735.0333
dteday,14929,368591.15,361983.0964
dteday,11525,368855.06666666665,367220.4863482574
dteday,10911,368231.06666666665,368231.0667
dteday,16627,368855.18333333335,368855.1833
dteday,13544,368687.1166666666,368687.1167
dteday,10044,368807.0333333333,368807.0333
dteday,5341,359735.13333333336,359735.1333
dteday,15470,368399.1666666667,368480.8684734706
dteday,4383,359519.11666666664,359696.6042738171
dteday,5319,359711.13333333336,359711.1333
dteday,15732,368663.1666666667,368663.1667
dteday,7043,359999.1666666667,359999.1667
dteday,6577,359519.1666666667,359519.1667
dteday,4804,359951.11666666664,359951.1167
dteday,16200,368423.18333333335,368423.1833
dteday,6803,359759.1666666667,359759.1667
dteday,15489,368423.1666666667,368423.1667
dteday,4831,359975.11666666664,359975.1167
dteday,15688,368615.1666666667,368526.4794711994
dteday,4606,359735.11666666664,359735.1167
dteday,10888,368207.06666666665,368423.949648821
dteday,11747,368351.0833333333,368351.0833
dteday,11014,368351.06666666665,346153.8355
dteday,13497,368639.1166666666,368639.1167
dteday,15799,368735.1666666667,368735.1667
dteday,4413,359543.11666666664,359543.1167
dteday,9622,368375.0333333333,368375.0333
dteday,11528,368855.06666666665,368855.0667
dteday,16403,368639.18333333335,368639.1833
dteday,14450,368855.13333333336,368855.1333
dteday,11,359399.01666666666,359399.0167
dteday,7271,359471.18333333335,359471.1833
dteday,16432,368663.18333333335,368774.604834233
dteday,5084,359471.13333333336,359471.1333
dteday,15832,368759.1666666667,368759.1667
dteday,16285,368519.18333333335,368519.1833
dteday,16235,368471.18333333335,368471.1833
dteday,15617,368543.1666666667,368540.55002588354
dteday,13593,368735.1166666666,368735.1167
dteday,9782,368543.0333333333,368543.0333
dteday,14242,368639.13333333336,368639.1333
dteday,9562,368327.0333333333,368327.0333
dteday,3474,360071.0833333333,368210.9813
dteday,15262,368207.1666666667,368207.1667
dteday,11513,368831.06666666665,368831.0667
