Attribute,Index,Clean Value,Cleaned Value
style,854,empty,16
ounces,14,12,12.80225
ounces,15,12,12.80225
ounces,16,12,12.80225
ounces,23,12,12.80225
ounces,26,12,12.80225
ounces,29,12,12.80225
ounces,33,12,12.80225
ounces,36,12,12.80225
ounces,37,12,12.80225
ounces,39,12,12.80225
ounces,40,12,12.80225
ounces,43,12,12.80225
ounces,59,16,12.80225
ounces,62,12,12.80225
ounces,64,12,12.80225
ounces,65,12,12.80225
ounces,66,12,12.80225
ounces,67,12,12.80225
ounces,69,16,12.80225
ounces,73,16,12.80225
ounces,77,16,12.80225
ounces,79,16,12.80225
ounces,82,16,12.80225
ounces,86,12,12.80225
ounces,96,16,12.80225
ounces,100,12,12.80225
ounces,107,12,12.80225
ounces,113,12,12.80225
ounces,115,12,12.80225
ounces,119,12,12.80225
ounces,141,12,12.80225
ounces,153,16,12.80225
ounces,165,12,12.80225
ounces,167,12,12.80225
ounces,169,12,12.80225
ounces,170,12,12.80225
ounces,173,12,12.80225
ounces,178,12,12.80225
ounces,181,12,12.80225
ounces,186,12,12.80225
ounces,190,12,12.80225
ounces,191,12,12.80225
ounces,195,12,12.80225
ounces,202,12,12.80225
ounces,205,16,12.80225
ounces,207,12,12.80225
ounces,208,12,12.80225
ounces,211,12,12.80225
ounces,227,12,12.80225
ounces,228,12,12.80225
ounces,233,12,12.80225
ounces,243,16,12.80225
ounces,249,12,12.80225
ounces,250,16,12.80225
ounces,251,12,12.80225
ounces,253,12,12.80225
ounces,256,12,12.80225
ounces,261,12,12.80225
ounces,265,12,12.80225
ounces,267,16,12.80225
ounces,274,12,12.80225
ounces,281,12,12.80225
ounces,289,12,12.80225
ounces,292,12,12.80225
ounces,301,12,12.80225
ounces,309,12,12.80225
ounces,312,12,12.80225
ounces,315,12,12.80225
ounces,318,12,12.80225
ounces,321,12,12.80225
ounces,332,16,12.80225
ounces,333,16,12.80225
ounces,343,12,12.80225
ounces,345,12,12.80225
ounces,347,12,12.80225
ounces,363,12,12.80225
ounces,365,12,12.80225
ounces,367,12,12.80225
ounces,374,12,12.80225
ounces,379,12,12.80225
ounces,384,12,12.80225
ounces,394,16,12.80225
ounces,398,16,12.80225
ounces,423,16,12.80225
ounces,444,16,12.80225
ounces,445,16,12.80225
ounces,455,12,12.80225
ounces,460,12,12.80225
ounces,470,16,12.80225
ounces,477,16,12.80225
ounces,488,12,12.80225
ounces,513,12,12.80225
ounces,516,12,12.80225
ounces,517,12,12.80225
ounces,520,12,12.80225
ounces,527,12,12.80225
ounces,528,12,12.80225
ounces,532,12,12.80225
ounces,533,12,12.80225
ounces,536,16,12.80225
ounces,545,12,12.80225
ounces,550,16,12.80225
ounces,560,12,12.80225
ounces,562,16,12.80225
ounces,563,16,12.80225
ounces,566,16,12.80225
ounces,583,12,12.80225
ounces,584,12,12.80225
ounces,587,16,12.80225
ounces,592,16,12.80225
ounces,596,12,12.80225
ounces,601,12,12.80225
ounces,608,12,12.80225
ounces,610,12,12.80225
ounces,615,12,12.80225
ounces,622,12,12.80225
ounces,633,16,12.80225
ounces,635,12,12.80225
ounces,637,12,12.80225
ounces,638,12,12.80225
ounces,642,16,12.80225
ounces,652,16,12.80225
ounces,658,12,12.80225
ounces,664,12,12.80225
ounces,681,12,12.80225
ounces,687,12,12.80225
ounces,694,12,12.80225
ounces,698,12,12.80225
ounces,704,12,12.80225
ounces,706,12,12.80225
ounces,707,12,12.80225
ounces,708,12,12.80225
ounces,714,12,12.80225
ounces,719,12,12.80225
ounces,725,16,12.80225
ounces,742,12,12.80225
ounces,745,16,12.80225
ounces,752,16,12.80225
ounces,763,16,12.80225
ounces,768,16,12.80225
ounces,769,12,12.80225
ounces,772,12,12.80225
ounces,777,16,12.80225
ounces,781,16,12.80225
ounces,785,16,12.80225
ounces,796,16,12.80225
ounces,797,16,12.80225
ounces,802,16,12.80225
ounces,805,12,12.80225
ounces,812,16,12.80225
ounces,816,12,12.80225
ounces,831,16,12.80225
ounces,832,16,12.80225
ounces,839,12,12.80225
ounces,846,12,12.80225
ounces,851,16,12.80225
ounces,854,12,12.80225
ounces,856,12,12.80225
ounces,858,12,12.80225
ounces,863,12,12.80225
ounces,869,12,12.80225
ounces,874,12,12.80225
ounces,879,12,12.80225
ounces,880,12,12.80225
ounces,889,12,12.80225
ounces,890,12,12.80225
ounces,897,16,12.80225
ounces,902,16,12.80225
ounces,903,16,12.80225
ounces,911,12,12.80225
ounces,913,12,12.80225
ounces,914,12,12.80225
ounces,926,12,12.80225
ounces,928,12,12.80225
ounces,929,16,12.80225
ounces,932,16,12.80225
ounces,934,16,12.80225
